CONTEXTDIALOGUE_SPOUSE_WEALTH_POOR |= J'aurais voulu que nous ayons plus d'argent.
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= On a un gagnant.
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= Ca grignote?
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= J'en ai un!
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= De grosses aretes dans celui-là.
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= Vous faites tout de travers.
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= Le souper hourra!
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= Il y a quelque chose de pas net là-dessous.
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= Vous attrapez?
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= Vous avez attrapé quelque chose d'intéressant?
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= Ahhh rien ne bat une bonne canne à peche.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= Well smash my conkers! What a sight!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= You and whose pet army? What's an army anyway?
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= Nice bunch of followers you have there.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= Awww how cute.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= That's hilarious!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= Those are trained well!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= Noah way!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= Either those animals like you, or you smell.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= That's funny.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= Here kitty!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= Awww cute.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= Nice pussycat.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= Achoo!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= That cat has weird eyes.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= Makes me want a new pet.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= Look at that! A cat!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= I seem to be reacting to that cat.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= Awww fluffy!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= Don't dig up my garden!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= Make sure you clean up after that!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= Awww nice doggy.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= What a nice dog.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= Four legs sounds like fun.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= Don't you dare hump my leg.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= Off adventuring together?
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= Well, I'll be dog-gone.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= Woof to you too.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= Sniffed up any treasure?
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= Good doggie.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_PIG |= Reminds me. I need more bacon.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_PIG |= Awww cute piggle.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_PIG |= Nice piggy
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_PIG |= That pig must love you!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_PIG |= Is that one a good racer?
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_PIG |= Hamazing!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_PIG |= You don't see that every day. Well, you sort of do.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CHICKEN |= Chicken chasing!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CHICKEN |= Looks like something from an old fable.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CHICKEN |= Cluck to it!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CHICKEN |= What an eggscellent sight.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CHICKEN |= Clucking funny seeing that.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CHICKEN |= Awww sort of cute chicken.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CHICKEN |= Go to work on an egg-layer.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CHICKEN |= That's funny to see.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CHICKEN |= Look at its little legs go.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CHICKEN |= Fowl play!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= Nice bird!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= That better not poo on my windows.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= In a flap?
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= Look at that!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= Am I dreaming or is that owl made of twigs?
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= Is that parrot cosplaying?
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= Now THAT'S a pet!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= That beak looks sharp.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= Does it do tricks?
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= Is your owl called Russell?
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= Keep that away from my goldfish.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= I had a mechanical owl once.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= Strange animal!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= Is that a legendary Filifryth?
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= Show off!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= I want one of those.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= What does it do?
CONTEXTDIALOGUE_GENERAL_SHOP_OWNED |= Bought a shop eh? Good luck with that.
CONTEXTDIALOGUE_GENERAL_SHOP_OWNED |= You must be in the money to own a business?
CONTEXTDIALOGUE_GENERAL_SHOP_OWNED |= Entrepreneur eh?
CONTEXTDIALOGUE_GENERAL_SHOP_OWNED |= Running a shop is hard work eh?
CONTEXTDIALOGUE_GENERAL_SHOP_OWNED |= How's business?
CONTEXTDIALOGUE_GENERAL_SHOP_OWNED |= Business good?
CONTEXTDIALOGUE_GENERAL_TOILET_OCCUPIED_NPC |= Ocupado!
CONTEXTDIALOGUE_GENERAL_TOILET_OCCUPIED_NPC |= Oi! Go away!
CONTEXTDIALOGUE_GENERAL_TOILET_OCCUPIED_NPC |= One at a time.
CONTEXTDIALOGUE_GENERAL_TOILET_OCCUPIED_NPC |= This loo aint big enough for the both of us.
CONTEXTDIALOGUE_GENERAL_TOILET_OCCUPIED_NPC |= I am indisposed presently.
CONTEXTDIALOGUE_GENERAL_TOILET_OCCUPIED_NPC |= Already taken!
CONTEXTDIALOGUE_GENERAL_TOILET_OCCUPIED_NPC |= Come back later. Much later if I were you.
CONTEXTDIALOGUE_GENERAL_TOILET_OCCUPIED_NPC |= Oh my Goddess! What did I eat?!
CONTEXTDIALOGUE_GENERAL_TOILET_OCCUPIED_NPC |= Are they meant to be green?
CONTEXTDIALOGUE_GENERAL_TOILET_OCCUPIED_NPC |= Could you pass me a leaf or ten?
CONTEXTDIALOGUE_GENERAL_TOILET_OCCUPIED_NPC |= Can't....talk....right....now.
CONTEXTDIALOGUE_GENERAL_TOILET_OCCUPIED_NPC |= Hey! I am in here!
CONTEXTDIALOGUE_GENERAL_GREETING_RIVALS |= Oh no, not you.
CONTEXTDIALOGUE_GENERAL_GREETING_RIVALS |= Not nice to see you.
CONTEXTDIALOGUE_GENERAL_GREETING_RIVALS |= Ugggh.
CONTEXTDIALOGUE_GENERAL_GREETING_RIVALS |= Avoiding you like the plague!
CONTEXTDIALOGUE_GENERAL_GREETING_RIVALS |= Yuck. It's you.
CONTEXTDIALOGUE_GENERAL_GREETING_RIVALS |= Stay away.
CONTEXTDIALOGUE_GENERAL_GREETING_RIVALS |= I'm off. Bad smell around here.
CONTEXTDIALOGUE_GENERAL_GREETING_RIVALS |= Oh look who it isn't.
CONTEXTDIALOGUE_GENERAL_GREETING_RIVALS |= What's that smell?
CONTEXTDIALOGUE_GENERAL_GREETING_RIVALS |= You're a sore for sore eyes.
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= Oh hello!
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= Goddesses be with you.
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= Nice to see you.
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= How's it going?
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= How are you?
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= Great to see you.
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= How's it faring?
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= Nice to see a friendly face.
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= Doing well?
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= Blessings be on you.
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= Greetings!
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= Hope you and yours are well.
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= Bless you this day.
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= How goes your travels?
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= Welcome to our haven.
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= Any stories from beyond?
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= How goes it?
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= Bringing some joy with you?
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= Nice to see you back again.
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= Wandered far?
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= Those feet must ache!
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= You must have seen some sights?
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= How are things yonder?
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= Welcome, wanderer.
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= Greetings wanderer.
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= G'day.
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= Travel well.
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= Goddesses bless your travels.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_LIKE |= That looks ready for the plate.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_LIKE |= Chi-chi-chi-chi-chicken.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_LIKE |= Lay a little egg for me.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_LIKE |= Look at that clucker.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_LIKE |= Needs to be in a soup.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_LIKE |= Who owns that chicken?
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_LIKE |= Awww look at its little wiggly bum.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_LIKE |= I love feathers.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_LIKE |= Don't squawk at me, chicken.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_LIKE |= I don't see fowl play.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_DISLIKE |= Keep that thing away from me!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_DISLIKE |= A-Choo!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_DISLIKE |= I hate chickens!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_DISLIKE |= Bloody thing! Shoo!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_DISLIKE |= Feather off!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_DISLIKE |= Cluck off!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_DISLIKE |= Get away!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_DISLIKE |= Ugh! Chicken!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_DISLIKE |= Aaagghh!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_LIKE |= Awww cute!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_LIKE |= Fluffy!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_LIKE |= Watch that cat.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_LIKE |= Pssst puss!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_LIKE |= Oooh little cat!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_LIKE |= Seen any ghosts lately?
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_LIKE |= That's a cat alright.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_DISLIKE |= Shoo!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_DISLIKE |= Get that cat away from me!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_DISLIKE |= Begone moggy!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_DISLIKE |= Psssttt!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_DISLIKE |= Ugh a cat!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_DISLIKE |= A-a-a-a-choo.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_DISLIKE |= Ugh I hate cats so much!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_DISLIKE |= Get that fluffy fiend away from me.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_DISLIKE |= Cats. Yuck.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_DISLIKE |= Get thee away mog.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_DISLIKE |= Bake a bun, cat be gone.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_DISLIKE |= I can smell a cat.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= There's a good doggy!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= Here boy! Or girl
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= Such a cute dog.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= Awww I like dogs.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= Cute!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= Man's best friend, they say.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= Fetch!  Just kidding. I have no throwing anims.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= Give that dog a bone.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= Does it have dis temper?
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= Does it bite?
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= Ooooh who is a good doggy?
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= That is one waggy tail. And the dogs.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= That's a dog!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_DISLIKE |= Dogs make me sneeze!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_DISLIKE |= Get these mutts away from me, man.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_DISLIKE |= Shoo dog!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_DISLIKE |= I hate the smell of dogs!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_DISLIKE |= Don't you dare lick me!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_DISLIKE |= You aint nothing but a hound dog!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_DISLIKE |= I can smell damp socks. Or dogs.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_DISLIKE |= Don't wag that tail at me!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_DISLIKE |= Horrid animals.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_DISLIKE |= Keep that monster away from me.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_DISLIKE |= I need a mutt-be-gone potion.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_DISLIKE |= I suddenly feel like sneezing.
CONTEXTDIALOGUE_GENERAL_TURN_LIGHT_ON |= Ahh I can see now.
CONTEXTDIALOGUE_GENERAL_TURN_LIGHT_ON |= That's better.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= I love a good competition.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= I hope we don't get the same winner this year.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= It's not just down to raw skill; you have to be intelligent enough to know what items to display.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= Maybe I should enter this year?
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= I can almost taste the entries already.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= I hope there are some meals left after the judging is over.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= Am not a bad cook myself when I'm not burning things.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= We should do this every year rather than annually.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= It puts me in the mood to buy lots of food.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= Will the winning entry be available to buy?
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= Hmmm those smells!
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= If I cared for autographs I would ask for one.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= It must take great skill to win. Or culinary bribery.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= A cook with good stamina will go far. Literally.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FISHSHOW |= This is exciting! Fish ahoy!
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FISHSHOW |= If I had a bigger rod I would enter.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FISHSHOW |= I wonder who will catch the best fish?
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FISHSHOW |= Fishing is a handy skill to have.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FISHSHOW |= I love seeing what people catch.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FISHSHOW |= A highly skilled fisherman will win.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FISHSHOW |= Do we get to bake the winner in a pie? Fish I mean.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FISHSHOW |= I am hooked on this event.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FISHSHOW |= This event doesn't smell as nice as the bake-off.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FISHSHOW |= Don't flap trying to win!
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FLOWERSHOW |= What a great smell!
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FLOWERSHOW |= I love seeing the best bloomers.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FLOWERSHOW |= I thought this was a flour show?
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FLOWERSHOW |= I wish my gardening skills were good.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FLOWERSHOW |= The secret is in the soil, you know?
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FLOWERSHOW |= I wonder who will win.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FLOWERSHOW |= I'm a Flower Show stalker.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FLOWERSHOW |= Dying to sniff the winners!
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FLOWERSHOW |= I have blue fingers not green.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FLOWERSHOW |= Beautiful flowers!
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_VEGSHOW |= Some great-looking veg this year!
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_VEGSHOW |= I hope we can taste the winners!
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_VEGSHOW |= Lovely big veggies!
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_VEGSHOW |= I wish I could grow quality veg.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_VEGSHOW |= I need a leek!
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_VEGSHOW |= Competition is fierce this year!
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_VEGSHOW |= Who has got the goods?
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_VEGSHOW |= This is the greatest talent show.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_VEGSHOW |= Very impressive entries.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_VEGSHOW |= Is that podium strong enough to hold them?


CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_GRANDMASTERTOMBOPEN |= Did you really open a tomb?
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_GRANDMASTERTOMBOPEN |= You discovered the Grandmasters?
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_GRANDMASTERTOMBOPEN |= Heard you found something in The Circle.
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_GRANDMASTERTOMBOPEN |= Trying to become a legend eh?
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_CHICKENRESCUE |= You found those missing chickens?
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_CHICKENRESCUE |= Chicken chaser? Now that's a fable.
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_CHICKENRESCUE |= Hey it's the chicken detective.
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_CHICKENRESCUE |= Well done on chicken finding.
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_UNWELL |= You cleansed the Unwell?
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_UNWELL |= Woemarsh is free of that curse.
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_UNWELL |= Heard about that Unwell.
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_UNWELL |= You went through Dreadwaters?
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_WITCHSLAYER |= It's the Witch-slayer!
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_WITCHSLAYER |= You slew a Hag?!
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_WITCHSLAYER |= Are you the new Witch-Hunter?
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_WITCHSLAYER |= Impressive Hag-slaying!
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_JABBERWOCKENCOUNTER |= You saw the Jabberwock??
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_JABBERWOCKENCOUNTER |= They say you saw a great monster!
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_JABBERWOCKENCOUNTER |= You survived the Jabberwock?
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_JABBERWOCKENCOUNTER |= Are you lying about that monster you saw?
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_JABBERWOCKENCOUNTER |= I am not going near Toughwood!
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_JABBERWOCKPRESENCE |= There's something foul afoot.
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_JABBERWOCKPRESENCE |= Have you noticed a presence?
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_JABBERWOCKPRESENCE |= Ill-moods from the north.
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_JABBERWOCKPRESENCE |= There's an ill-wind blowing.
CONTEXTDIALOGUE_GENERAL_STORY_PROGRESS_JABBERWOCKPRESENCE |= Something nasty is afoot.
