Pickup_Kynseed |= Kynseed
Pickup_Description_511 |= Pumpkin, Carrot, Gingembre
Pickup_512 |= Peggy Soup
Pickup_Description_512 |= Barbel, Carrot, Radis
Pickup_513 |= Hodgepodgestodge
Pickup_Description_513 |= Radis, Eel, Turnip
Pickup_514 |= Soup Herman
Pickup_Description_514 |= Pumpkin, Catnip, Gassy Apple
Pickup_515 |= Bush Medley
Pickup_Description_515 |= Strawberry, Groseille, Grapes
Pickup_523 |= Rainfish location 2
Pickup_Description_523 |= When clouds are crying, they appear,\n Rainfish love their namesake dear.
Pickup_524 |= Laitue emplacement 1
Pickup_Description_524 |= In the gardens of Mellowfields,\n Lettuce grows in great big yields.
Pickup_525 |= Laitue emplacement 2
Pickup_Description_525 |= Only when Quill freezes,\n Does lettuce hide to avoid the sneezes.
Pickup_526 |= Utilisation de la Laitue
Pickup_Description_526 |= Lettuce leaves when eaten raw,\n Will give the eater farts galore.
Pickup_527 |= Radis emplacement 1
Pickup_Description_527 |= Radish have a curious look,\n Found in and around the Mellowbrook.
Pickup_528 |= Radis emplacement 2
Pickup_Description_528 |= Radish do not like the suns face,\n So in other seasons stake their place.
Pickup_529 |= Utilisation de Radis
Pickup_Description_529 |= Radish are red and cooked with ease,\n Yet beware they give lewd breeze.
Pickup_530 |= Grapes location 1
Pickup_Description_530 |= Found in Mellowfields on the vine,\n Grapes make the tastiest wine.
Pickup_531 |= Grapes location 2
Pickup_Description_531 |= Snow and ice begone and wither,\n Let the grape come forth and hither.
Pickup_532 |= Grapes Use
Pickup_Description_532 |= Grapes make drink and drink is fine,\n I all drink I there think I drunk I love yoooo!
Pickup_533 |= Blé emplacement 1
Pickup_Description_533 |= Wheat grows strong in Mellow dirt,\n Freyl sees the crop's unhurt.
Pickup_534 |= Blé emplacement 2
Pickup_Description_534 |= Sun shine, and then the rain,\n Two seasons only to harvest grain.
Pickup_535 |= Utilisation du Blé
Pickup_Description_535 |= Put wheat in stones within the mill,\n Then sacks of flour take their fill.
Pickup_536 |= Orge emplacement 1
Pickup_Description_536 |= Barley hops and barley jumps,\n In Mellowfield's fertile tended clumps.
Pickup_537 |= Orge emplacement 1
Pickup_Description_537 |= Winter comes, and after Spring,\n Mr Barley does his thing.
Pickup_538 |= Utilisation de l'Orge
Pickup_Description_538 |= Barley is the root of drinks,\n I drank too much so I can't thinks.
Pickup_539 |= Carotte emplacement 1
Pickup_Description_539 |= The Vale is home to hardy carrots,\n Brighter than the brightest parrots.
Pickup_540 |= Carotte emplacement 1
Pickup_Description_540 |= Carrots are very hardy,\n All-year-round they like to pardy.
Pickup_541 |= Utilisation de la Carotte
Pickup_Description_541 |= Carrot makes the shadows bright,\n If you can stay awake that night!
Pickup_542 |= Chou emplacement 1
Pickup_Description_542 |= Vale folk don't much like legumes,\n But do like how the cabbage blooms.
Pickup_543 |= Chou emplacement 2
Pickup_Description_543 |= Cabbage fears hot nor cold,\n Nor rain nor shine if truth be told.
Pickup_544 |= Utilisation du Chou
Pickup_Description_544 |= Cabbage looks and tastes so dull,\n But it doesn't half make you pull!
Pickup_545 |= Pomme emplacement 1
Pickup_Description_545 |= Druida's seeds have juicy flesh,\n In the Vale where they are fresh.
Pickup_546 |= Pomme emplacement 2
Pickup_Description_546 |= Druida hides her juicy goods,\n When snow comes after Autumn's floods.
Pickup_547 |= Utilisation de la Pomme
Pickup_Description_547 |= When your energy has gone,\n Apple can help you still go on.
Pickup_548 |= Poire emplacement 1
Pickup_Description_548 |= Druida has a lovely pear,\n Vale folk like to stand and stare.
Pickup_549 |= Poire emplacement 2
Pickup_Description_549 |= The icy blasts and chilly air,\n Will never touch Druida's pear.
Pickup_550 |= Utilisation de la Poire
Pickup_Description_550 |= When tiredness comes home to roost,\n A tasty pear can give a boost.
Pickup_551 |= Fraise emplacement 1
Pickup_Description_551 |= Vale folk adore this sweet, sweet berry,\n More than even golden cherry.
Pickup_552 |= Fraise emplacement 2
Pickup_Description_552 |= The first 3 seasons of the year sees,\n Strawberries grow below the trees.
Pickup_553 |= Utilisation de la Fraise
Pickup_Description_553 |= Strawberries make jam so sweet,\n And raises charm a real treat.
Pickup_554 |= Myrtille emplacement 1
Pickup_Description_554 |= A berry blue and very tasty,\n In the lush Vale where life aint hasty.
Pickup_555 |= Myrtille emplacement 2
Pickup_Description_555 |= Spring, Summer Autumn are a treat,\n And make the Blueberry taste so sweet.
Pickup_556 |= Utilisation de la Myrtille
Pickup_Description_556 |= Blueberry Jam gives a luscious smell,\n Give as gift and the day goes well.
Pickup_557 |= Gassy Apple location 1
Pickup_Description_557 |= Sometimes apples turn quite bad,\n And lots of gassiness can be had.
Pickup_558 |= Gassy Apple location 2
Pickup_Description_558 |= Hardier than other fruit,\n But not so nice so that point's moot.
Pickup_559 |= Gassy Apple Use
Pickup_Description_559 |= Gassy Apple fills the belly,\n With wind most powerful and smelly.
Pickup_560 |= Tomate emplacement 1
Pickup_Description_560 |= They say tomatoes banish the pale,\n And found they are within the Vale.
Pickup_561 |= Tomate emplacement 2
Pickup_Description_561 |= Winter's bite is far too sore,\n For tomatoes to be eaten raw.
Pickup_562 |= Utilisation de la Tomate
Pickup_Description_562 |= Want to get much better deals?\n Add tomato to your meals.
Pickup_563 |= Groseille emplacement 1
Pickup_Description_563 |= Goosey, goosey gander,\n In Summerdown your berries wander.
Pickup_564 |= Groseille emplacement 2
Pickup_Description_564 |= Gooseberries come and gooseberries go,\n But never come when they see snow.
Pickup_565 |= Utilisation de la Groseille
Pickup_Description_565 |= To keep the spirits from being mean,\n Simply toss the Gooseberry green.
Pickup_566 |= Nightberry location 1
Pickup_Description_566 |= Nightberries only appear,\n When 9 dark bells ring so clear.
Pickup_567 |= Nightberry location 2
Pickup_Description_567 |= Ice breath ghosts across the farm,\n Nightberries sleep to keep themselves warm.
Pickup_568 |= Nightberry Use
Pickup_Description_568 |= Nightberry gives a boost and speed,\n With them sleep you'll never need.
Pickup_569 |= Gummy location 1
Pickup_Description_569 |= What do fairies find so yummy?\n A sticky shroom that they call Gummy!
Pickup_570 |= Gummy location 2
Pickup_Description_570 |= When bubbles burst and strange mists creep,\n Gummy mushrooms wake from sleep.
Pickup_571 |= Gummy Use
Pickup_Description_571 |= Gummy makes your torso thick,\n And when running, people stick.
Pickup_572 |= Yum location 1
Pickup_Description_572 |= Odd tree sap in Fairy land,\n Hard to get it off your hand!
Pickup_573 |= Yum location 2
Pickup_Description_573 |= When strange suns rise above purple woods,\n Strange trees glow and gift their goods.
Pickup_574 |= Yum Use
Pickup_Description_574 |= Yum makes a tough and healing bevvy,\n Caution though it makes eyes heavy.
Pickup_578 |= Sugar Plum location 1
Pickup_Description_578 |= Gnomes and Fairies are never glum,\n When they pick the Sugar Plum.
Pickup_579 |= Sugar Plum location 2
Pickup_Description_579 |= On days that are multiple of two,\n Sugar Plums will bloom so true.
Pickup_580 |= Sugar Plum Use
Pickup_Description_580 |= Keep workers happy, healed and dumb,\n With a treat of Sugar Plum.
Pickup_581 |= Eldersberry location 1
Pickup_Description_581 |= Beyond the henge where Dryads roam,\n Eldersberries make their home.
Pickup_582 |= Eldersberry location 2
Pickup_Description_582 |= When Pollen fills Evergreen air,\n Eldersberry hide in their lair.
Pickup_583 |= Eldersberry Use
Pickup_Description_583 |= Elderberry brings forth truth and smarts,\n Yet sadness comes to grasp your heart.
Pickup_584 |= Dusk Cherry location 1
Pickup_Description_584 |= Where Pucks and Mossmen idly chat,\n Dusk Cherry doffs its rosy hat.
Pickup_585 |= Dusk Cherry location 2
Pickup_Description_585 |= When does a Dusk Cherry grow?\n Take a guess, you never know!
Pickup_586 |= Dusk Cherry Use
Pickup_Description_586 |= Hate your neighbour? Favour trouble?\n Dusk Cherry makes the trouble bubble!
Pickup_590 |= Orchidée emplacement 1
Pickup_Description_590 |= Orchid grows at any hour,\n Among the sweet yellow flowers.
Pickup_591 |= Orchidée emplacement 1
Pickup_Description_591 |= Summer and Autumn always smell,\n Of Orchid scent that drifts so well.
Pickup_592 |= Utilisation de l'Orchidée
Pickup_Description_592 |= Orchid motivates the battered mind,\n And smells as sweet as fairy-kind.
Pickup_593 |= Sunflower location 1
Pickup_Description_593 |= Found in gardens against the wall,\n Sunflower grows oh so tall.
Pickup_594 |= Sunflower location 2
Pickup_Description_594 |= When Spring and Summer rule the sky,\n Do Sunflowers stretch oh so high.
Pickup_595 |= Sunflower Use
Pickup_Description_595 |= If you have a shrunken form,\n Sunflower oil returns to norm.
Pickup_596 |= Chardon emplacement 1
Pickup_Description_596 |= Thistle gives thy hand a prick,\n In Mellow scrubs that lay so thick.
Pickup_597 |= Chardon emplacement 1
Pickup_Description_597 |= Spring? Summer? Autumn? Winter?\n Thistle stabs into your hinter.
Pickup_598 |= Utilisation du Chardon
Pickup_Description_598 |= Only the brave dare pick a Thistle,\n And Braver still to wet your whistle.
Pickup_599 |= Pink Rose location 1
Pickup_Description_599 |= In the gardens green of Mellowfields,\n Rose bushes scents are always sealed.
Pickup_600 |= Pink Rose location 2
Pickup_Description_600 |= Roses hate the freezing chills,\n Ne'er found til sunlight spills.
Pickup_601 |= Pink Rose Use
Pickup_Description_601 |= Roses added to a potion,\n Will perfume the air with merest motion.
Pickup_602 |= Pissenlit emplacement 1
Pickup_Description_602 |= Dandelions are the common flower,\n Tells the time but only hour.
Pickup_603 |= Pissenlit emplacement 2
Pickup_Description_603 |= Les Pissenlits ne montrent aucune peur,\n Ils sont fiers toute l'année!
Pickup_604 |= Utilisation du Pissenlit
Pickup_Description_604 |= Look at the seeds of the Dandelion flower,\n They point to the current hour!
Pickup_605 |= Cuckoo Dew location 1
Pickup_Description_605 |= Cuckoo Dew can be found,\n By tree stumps with blue flowers around.
Pickup_606 |= Cuckoo Dew location 2
Pickup_Description_606 |= Cuckoo Dew avoids the Fall,\n It does not like that time at all!
Pickup_607 |= Cuckoo Dew Use
Pickup_Description_607 |= Cuckoo Dew the healer's friend,\n Its usefulness knows no end.
Pickup_608 |= Grave Lilac location 1
Pickup_Description_608 |= Where ancient peoples lay beneath,\n By their stones Grave Lilac leaf's.
Pickup_609 |= Grave Lilac location 2
Pickup_Description_609 |= Grave Lilac doesn't like it hot you know?\n  So in the Summer does not grow.
Pickup_610 |= Grave Lilac Use
Pickup_Description_610 |= Grave Lilac wards off evil creepers,\n And puts strange visions in your peepers.
Pickup_611 |= Bloodfew location 1
Pickup_Description_611 |= Bloodfew can be found,\n By strange Fae statues on the ground.
Pickup_612 |= Bloodfew location 2
Pickup_Description_612 |= When the land is sprinkled white,\n Bloodfew shirks and takes flight.
Pickup_613 |= Bloodfew Use
Pickup_Description_613 |= A great tip for those who spew,\n Chew a leaf of sweet Bloodfew
Pickup_614 |= Primrose location 1
Pickup_Description_614 |= Primrose grows so free,\n Beneath the boughs of white-barked trees.
Pickup_615 |= Primrose location 2
Pickup_Description_615 |= Summer sun and Autumn rain,\n Primrose avoids both their pain.
Pickup_616 |= Primrose Use
Pickup_Description_616 |= Primrose always makes things calmer,\n When in a potion, it makes a charmer.
Pickup_617 |= Rose of Romance location 1
Pickup_Description_617 |= Romantic Roses bare petals red,\n By Loverwood's stones it is said.
Pickup_618 |= Rose of Romance location 2
Pickup_Description_618 |= Rose of Romance blooms bright,\n All year round, both day and night.
Pickup_619 |= Rose of Romance Use
Pickup_Description_619 |= Gift the Rose to start a date,\n Take them prompt and don't be late!
Pickup_620 |= Coquelicot emplacement 1
Pickup_Description_620 |= Poppy red, Poppy red,\n In Summerdown, the home of bread.
Pickup_621 |= Coquelicot emplacement 2
Pickup_Description_621 |= Poppy sleeps when flakes so fair,\n Drift dreamily down from Aurore's hair.
Pickup_622 |= Utilisation du Coquelicot
Pickup_Description_622 |= Poppy powder taken neat,\n Will make you sleep and have ducks feet.
Pickup_623 |= Bowing Nancy location 1
Pickup_Description_623 |= By ruins in the Summerdown,\n Bowing Nancy forms her frown.
Pickup_624 |= Bowing Nancy location 2
Pickup_Description_624 |= Bowing Nancy hides her head,\n when Summer's baking days are bred.
Pickup_625 |= Bowing Nancy Use
Pickup_Description_625 |= Bowing Nancy is a sleeping weed,\n Yet can boost Intelligence and Speed.
Pickup_626 |= White Rose location 1
Pickup_Description_626 |= White Rose, the marriage bloom,\n Grows in Wood where Lover's swoon.
Pickup_627 |= White Rose location 2
Pickup_Description_627 |= The White Rose only shows it's flower,\n On Goddess Day at any hour.
Pickup_628 |= White Rose Use
Pickup_Description_628 |= Gift a White Rose to your love,\n And propose you will to skies above.
Pickup_629 |= Lovers Truffle location 1
Pickup_Description_629 |= By dirty patches, where trees sleep,\n Lovers Truffle buried deep.
Pickup_630 |= Lovers Truffle location 2
Pickup_Description_630 |= Autumn rains soak the ground,\n And in Winter too they can be found.
Pickup_631 |= Lovers Truffle Use
Pickup_Description_631 |= Lovers Truffle is just the thing,\n To give intimate moments some length and zing.
Pickup_632 |= Charmweed location 1
Pickup_Description_632 |= By brooks and streams where it is dank,\n  Charmweed lays and has a nap.
Pickup_633 |= Charmweed location 2
Pickup_Description_633 |= Charmweed doesn't like the snow,\n So pick it another time you know.
Pickup_634 |= Charmweed Use
Pickup_Description_634 |= Always use cool Charmweed,\n If you value Charm and Speed.
Pickup_635 |= Little Sap location 1
Pickup_Description_635 |= In secret glades of Tir Na Nog,\n Little Sap seeps from arcane logs.
Pickup_636 |= Little Sap location 2
Pickup_Description_636 |= On the day of worship seek,\n A withered tree in secret deep.
Pickup_637 |= Little Sap Use
Pickup_Description_637 |= Little Sap shrinks that stomach swell.\n But will shrink your body as well!
Pickup_638 |= Funflower location 1
Pickup_Description_638 |= Funflower dance, Funflower sing!\n Find them fanned by Fairy wing.
Pickup_639 |= Funflower location 2
Pickup_Description_639 |= Funflower dance, Funflower sway!\n Waving at mists to go away.
Pickup_640 |= Funflower Use
Pickup_Description_640 |= Funflower is cheeky and means no harm,\n Gives positive energy and lots of Charm.
Pickup_641 |= Songstrell location 1
Pickup_Description_641 |= Hear their songs through henge doors,\n Where strange grasses line the floors.
Pickup_642 |= Songstrell location 2
Pickup_Description_642 |= Nowt can make the Songstrell rise,\n Unless they hear musical surprise.
Pickup_643 |= Songstrell Use
Pickup_Description_643 |= Songstrell makes the Gossip flow,\n And gives wounds and cuts a serious blow.
Pickup_644 |= Sceach Gheal location 1
Pickup_Description_644 |= Find the stump where Sceach Gheal slumbers,\n then pour some Honey on the lumber.
Pickup_645 |= Sceach Gheal location 2
Pickup_Description_645 |= Once a season you can pick,\n Sceach Gheal so best be quick!
Pickup_646 |= Sceach Gheal Use
Pickup_Description_646 |= Scented Sceach worn each day,\n Gives more growth in many ways.
Pickup_650 |= Caorthann location 1
Pickup_Description_650 |= Look where you will see Green Man,\n And you will find the Caorthann.
Pickup_651 |= Caorthann location 2
Pickup_Description_651 |= Caorthann sprouts so you can get,\n When you are followed by your pet.
Pickup_652 |= Caorthann Use
Pickup_Description_652 |= Want to grow without the sick?\n Caorthann leaves you in good nick.
Pickup_653 |= Ulisis location 1
Pickup_Description_653 |= Dryads find the Ulisis Yumi,\n The soft smooth leaves line their tummy.
Pickup_654 |= Ulisis location 2
Pickup_Description_654 |= The Ulisis can only be picked,\n When free of curse and unnatural sick.
Pickup_655 |= Ulisis Use
Pickup_Description_655 |= Ulisis helps your tummy sores,\n And vivid visions are now yours.
Pickup_656 |= Chamomile location 1
Pickup_Description_656 |= Where Mellow birds make you smile,\n You will find some Chamomile.
Pickup_657 |= Chamomile location 2
Pickup_Description_657 |= Spring forth, Summer smile,\n Autumn rise, Chamomile!
Pickup_658 |= Chamomile Use
Pickup_Description_658 |= Chamomile goes down easy,\n And it makes you snore quite easy.
Pickup_659 |= Catnip location 1
Pickup_Description_659 |= Catnip gives you paws for thought,\n In Mellowfields, picked or bought.
Pickup_660 |= Catnip location 2
Pickup_Description_660 |= Catnip runs and hides away,\n When snow is crisp on Winter's day.
Pickup_661 |= Catnip Use
Pickup_Description_661 |= Feel like facing all your fears?\n Catnip gives you braver ears.
Pickup_662 |= Gingembre emplacement 1
Pickup_Description_662 |= In Mellow gardens it is said,\n Ginger rogers in its bed.
Pickup_663 |= Gingembre emplacement 2
Pickup_Description_663 |= Ginger is a curious thing,\n Doesn't mind the cold and hates the Spring.
Pickup_664 |= Utilisation du Gingembre
Pickup_Description_664 |= Feeling sick and green of gill?\n Ginger helps as raw or pill.
Pickup_665 |= Basil location 1
Pickup_Description_665 |= Way down deep in the middle of the Vale,\n You can find Basil, bunched by the bale.
Pickup_666 |= Basil location 2
Pickup_Description_666 |= All-year-round and in the morn,\n Little Basil leaves are born.
Pickup_667 |= Basil Use
Pickup_Description_667 |= If you are in a tiring rush,\n Put some Basil on your brush.
Pickup_668 |= Thyme location 1
Pickup_Description_668 |= Thyme passes without fail,\n In the lush and leafy Vale.
Pickup_669 |= Thyme location 2
Pickup_Description_669 |= Thyme flies when you have fun,\n Under every morning sun.
Pickup_670 |= Thyme Use
Pickup_Description_670 |= Thyme to put bad stinks to rest,\n You will always smell your best.
Pickup_671 |= Menthe emplacement 1
Pickup_Description_671 |= Strong in growth and strong in taste,\n Summerdown Mint won't go to waste.
Pickup_672 |= Menthe emplacement 2
Pickup_Description_672 |= Summerdown herbs all seem to grow,\n Only in the morning glow.
Pickup_673 |= Utilisation de la Menthe
Pickup_Description_673 |= Mint is cool and lots of fun,\n Calms your soul and removes the runs.
Pickup_674 |= Parsley location 1
Pickup_Description_674 |= Parsley, Parsley, green and fair,\n In Summerdown let loose your hair.
Pickup_675 |= Parsley location 2
Pickup_Description_675 |= Morning sun warms Parsley cheeks,\n For the whole of 8 long weeks.
Pickup_676 |= Parsley Use
Pickup_Description_676 |= Parsley heals nice and neat,\n Cures from head to sore old feet.
Pickup_677 |= Rotten Apple location 1
Pickup_Description_677 |= Rotten Apples you can get, If your Brounie is upset.
Pickup_678 |= Rotten Apple location 2
Pickup_Description_678 |= Put an apple in Fairy Rings, And rot it will like darkest things.
Pickup_679 |= Rotten Apple Use
Pickup_Description_679 |= Rotten Apples poison fare, They fly quite nicely through the air!
Pickup_680 |= Rainbow Mushroom location 1
Pickup_Description_680 |= Go outside a mine or cave,\n Rainbow Mushroom gives a wave.
Pickup_681 |= Rainbow Mushroom location 2
Pickup_Description_681 |= Rainbow Mushroom's lay about,\n Waiting for rain to make them sprout.
Pickup_682 |= Rainbow Mushroom Use
Pickup_Description_682 |= Rainbow Mushroom traits repel,\n Makes you brave and smell clouds as well.
Pickup_683 |= Whistleroot location 1
Pickup_Description_683 |= Summer and Autumn give a toot,\n When they see the Whistleroot.
Pickup_684 |= Whistleroot location 2
Pickup_Description_684 |= Only after midnight's hoot,\n Will you find the Whistleroot.
Pickup_685 |= Whistleroot Use
Pickup_Description_685 |= Tummy strong and heals nice,\n Whistleroot gives your muscles spice.
Pickup_358 |= Candy Hare location 1
Pickup_Description_358 |= Candied Hare is very sweet,\n Buy from shops so use your feet!
Pickup_359 |= Candy Hare location 2
Pickup_Description_359 |= A favourite gift and very cheap,\n Candy Hares the useful sweet.
Pickup_388 |= Candy Hare Use
Pickup_Description_388 |= Want a friendship fine and dandy?\n Gift a hare that's made of candy.
Pickup_686 |= Candy Squirrel location 1
Pickup_Description_686 |= Candy Squirrels have sugar galore,\n So get yours from your local store!
Pickup_687 |= Candy Squirrel location 2
Pickup_Description_687 |= Need a present for a birthing day?\n Candy Squirrels a giveaway!
Pickup_688 |= Candy Squirrel Use
Pickup_Description_688 |= Squirrels dipped in luscious candy,\n Make a friendship very handy.
Pickup_689 |= Pork Chop location 1
Pickup_Description_689 |= Give a pig a gassy apple,\n Slingshot next for pork no hassle.
Pickup_690 |= Pork Chop location 2
Pickup_Description_690 |= Can't bear to pop your lovely sow?\n Shops sell pork so go there now!
Pickup_691 |= Pork Chop Use
Pickup_Description_691 |= Dog's utterly love the stuff,\n Heals a bit and makes you tough.
Pickup_692 |= Egg location 1
Pickup_Description_692 |= A clucker is ready to lay,\n When it sees you once per day.
Pickup_693 |= Egg location 2
Pickup_Description_693 |= Slingshots give a gentle clout,\n The chicken scares and egg pops out.
Pickup_694 |= Egg Use
Pickup_Description_694 |= Eggs are full of healing fun (hooray!),\n But they also make you run (away).
Pickup_695 |= Chicken Drumstick location 1
Pickup_Description_695 |= Gassy Apples make chickens swell,\n Slingshots pop them oh so well.
Pickup_696 |= Chicken Drumstick location 2
Pickup_Description_696 |= Chicken Drumsticks are bought for Brass,\n Saves you having to pop their a**.
Pickup_697 |= Chicken Drumstick Use
Pickup_Description_697 |= Chicken makes your muscles strong,\n Heals, and makes your dog's tongue long.
Pickup_698 |= Honey location 1
Pickup_Description_698 |= Bees hibernate in Winter snows,\n That's when all the Honey goes.
Pickup_700 |= Honey Use
Pickup_Description_700 |= Charming Honey thrown onto the ground,\n Will slow things down, it has been found
Pickup_701 |= Milk location 1
Pickup_Description_701 |= Cows give milk but twice a day,\n So fill your pails then go away!
Pickup_703 |= Milk Use
Pickup_Description_703 |= The Brounie is the final hurdle,\n So offer gifts or watch it curdle!
Pickup_704 |= Flour location 1
Pickup_Description_704 |= Flour is made at miller's stones,\n So grind away like giants grind bones.
Pickup_705 |= Flour location 2
Pickup_Description_705 |= In Mellowfields beneath the hills,\n Flour comes from the famous mills.
Pickup_706 |= Flour Use
Pickup_Description_706 |= Flour is used in Pies and Bread,\n So use a stove and not your head!
Pickup_587 |= Heartroot location 1
Pickup_Description_587 |= In the land of E'ergreen,\n Sturdy Heartroot can be seen.
Pickup_588 |= Heartroot location 2
Pickup_Description_588 |= When the day is oddly number'd,\n Heartroot wakes from where it slumber'd.
Pickup_589 |= Heartroot Use
Pickup_Description_589 |= Chewing Heartroot boosts your vim,\n You'll smell nice but become quite dim.
Pickup_360 |= Fish of Many Fingers location 1
Pickup_Description_360 |= Fish of Many Fingers hustle,\n In the place where tree folk rustle.
Pickup_373 |= Fish of Many Fingers location 2
Pickup_Description_373 |= In the pools of Evergreen,\n Many Fingered Fish be seen.
Pickup_374 |= Fish of Many Fingers Use
Pickup_Description_374 |= Fish of Many Fingers plants bad mind seed,\n But makes weapons cause your foes to bleed.
Pickup_707 |= Bluefish Toastie
Pickup_Description_707 |= Meal deal with it.
Pickup_708 |= Bluefish Toastie
Pickup_Description_708 |= Bluefish, Tomate, Basilic
Pickup_709 |= Pricklethick
Pickup_Description_709 |= Great for windy knights.
Pickup_710 |= Pricklethick
Pickup_Description_710 |= Chardon, Radis, Carotte
Pickup_711 |= Sleeping Brew Tea
Pickup_Description_711 |= Disnae taste bad laddie.
Pickup_712 |= Sleeping Brew Tea
Pickup_Description_712 |= Myrtille, Camomille, Champignon
Pickup_713 |= Pick-A-Pike Pie
Pickup_Description_713 |= Contains traces of bulls-eye.
Pickup_714 |= Pick-A-Pike Pie
Pickup_Description_714 |= Pike, Silverscale, Parsley
Pickup_716 |= Tarte aux Groseilles
Pickup_Description_716 |= Groseille, Whistleroot, Mente
Pickup_717 |= Ploughmans Cob
Pickup_Description_717 |= A web of intriguing flavours.
Pickup_718 |= Ploughmans Cob
Pickup_Description_718 |= Pear, Pork Chop, Laitue
Pickup_719 |= Fish-Net Stock
Pickup_Description_719 |= Tastes great with Frankenfurters.
Pickup_720 |= Fish-Net Stock
Pickup_Description_720 |= Checkered Chub, Pondlurker, Salmon
Pickup_721 |= Flagfish Pie
Pickup_Description_721 |= Banner from making it.
Pickup_722 |= Flagfish Pie
Pickup_Description_722 |= Flagfish, Flagfish, Lorianthe
Pickup_723 |= Spicy Clucking Soup
Pickup_Description_723 |= Chook it in the pot.
Pickup_724 |= Spicy Clucking Soup
Pickup_Description_724 |= Gingembre, Chicken Drumstick, Ortie
Pickup_725 |= Confiture de Groseille
Pickup_Description_725 |= The jar is untitled.
Pickup_726 |= Confiture de Groseille
Pickup_Description_726 |= Groseille, Groseille, Miel
Pickup_727 |= Serf & Turf
Pickup_Description_727 |= In a rusticky sauce.
Pickup_728 |= Serf & Turf
Pickup_Description_728 |= Pork Chop, River Trout, Parsley
Pickup_729 |= Hot Chicken Sarnie
Pickup_Description_729 |= Fowl ref.
Pickup_730 |= Hot Chicken Sarnie
Pickup_Description_730 |= Chicken Drumstick, Laitue, Thyme
Pickup_731 |= Sky-In-The-Pie
Pickup_Description_731 |= High in fibre.
Pickup_732 |= Sky-In-The-Pie
Pickup_Description_732 |= Rainbow Mushroom, Fishie Wishie, Catnip
Pickup_733 |= Stubby Custard
Pickup_Description_733 |= Not for the Po-faced.
Pickup_734 |= Stubby Custard
Pickup_Description_734 |= Menthe, Fraise, Miel
Pickup_735 |= Risquebisque
Pickup_Description_735 |= Smells of wood.
Pickup_736 |= Risquebisque
Pickup_Description_736 |= Moonfish, Basilic, Needlenip
Pickup_737 |= Fishy Goodjohns
Pickup_Description_737 |= With a sweet reduction.
Pickup_738 |= Fishy Goodjohns
Pickup_Description_738 |= Minnow, Thyme, Fish of Many Fingers
Pickup_739 |= Longbread
Pickup_Description_739 |= Bag it.
Pickup_740 |= Longbread
Pickup_Description_740 |= Eel, Parsley, Basilic
Pickup_741 |= Heartroot
Pickup_Description_741 |= Beat it, bud.
Pickup_647 |= Luachra location 1
Pickup_Description_647 |= Luachra does gently sway,\n Where the Green Children make their play.
Pickup_648 |= Luachra location 2
Pickup_Description_648 |= Luachra blooms to impress you,\n On days that all divide by two.
Pickup_649 |= Luachra Use
Pickup_Description_649 |= Luachra ingested with some gravy,\n Makes you strong and full of bravery.
Pickup_750 |= Forget-Me-Yet Seed
Pickup_Description_750 |= Grow flowers that, when gifted make the NPC opinion neutral.
Pickup_751 |= Forget-me-yet flower
Pickup_Description_751 |= Erm... It's... Er...
Pickup_752 |= Nob Eye
Pickup_Description_752 |= Fought to the end.
Pickup_753 |= Spirit Essence
Pickup_Description_753 |= Dead good.
Pickup_754 |= Ancient Cloth
Pickup_Description_754 |= Hopefully not from underpants.
Pickup_755 |= Nights Tail
Pickup_Description_755 |= Be Aaagghh Guest.
Pickup_756 |= Dark Paw
Pickup_Description_756 |= Extra padding.
Pickup_757 |= Sallow Heart
Pickup_Description_757 |= Fully pumped.
Pickup_758 |= Witching Cloth
Pickup_Description_758 |= Don't go touching it.
Pickup_759 |= Amethyst
Pickup_Description_759 |= Has a precious tone.
Pickup_760 |= Beast Liver
Pickup_Description_760 |= Liked by Onion Knights.
Pickup_761 |= Beast Tail
Pickup_Description_761 |= It's a beauty.
Pickup_762 |= Beast Claw
Pickup_Description_762 |= Talonted.
Pickup_763 |= Nymph Wing
Pickup_Description_763 |= I can't believe it's not flutter.
Pickup_764 |= Glass Tear
Pickup_Description_764 |= Comes from Glass Eyes?
Pickup_772 |= Voo-Doo-Do-One
Pickup_Description_772 |= Banishes Curses.
Pickup_773 |= Shush Mush
Pickup_Description_773 |= Encourages you to be more open.
Pickup_142 |= Clotting Cream
Pickup_Description_142 |= Stems the flow of claret.
Pickup_146 |= Hardwood Tincture
Pickup_Description_146 |= Puts a spring in your bed.
Pickup_749 |= Ulisis
Pickup_Description_749 |= Tell Emicus how lovely they are.
Pickup_789 |= Abdo-mend
Pickup_Description_789 |= A silver (stomach) lining.
Pickup_790 |= Gulliver Travel
Pickup_Description_790 |= Lily put it in her tummy.
Pickup_791 |= Eee-collywobbles
Pickup_Description_791 |= 
Pickup_792 |= Burnout
Pickup_Description_792 |= The right criterion for burn relief.
Pickup_793 |= Blind Sear
Pickup_Description_793 |= In Spire-ing.
Pickup_794 |= Char-Is-Hard
Pickup_Description_794 |= Use this for starters.
Pickup_795 |= Spring Whiff
Pickup_Description_795 |= Gives a minx effect
Pickup_796 |= Hold the Odor!
Pickup_Description_796 |= A fragrance for gamey thrones.
Pickup_797 |= Scent Generique
Pickup_Description_797 |= 
Pickup_798 |= Farsight Potion
Pickup_Description_798 |= Accidental little happies.
Pickup_799 |= Flighting Fantasy
