PIG_RACING |= Pig Racing
BS_ManicMinerTitle |= Manic Miner 01
BS_ManicMinerDesc |= Visitors to the shop will sell you ore on occasions
BS_PeoplePersonTitle |= People Person 01
BS_PeoplePersonDesc |= Higher chance of the Placebo being successful
BS_Merchant01Title |= Merchant 01
BS_Merchant01Desc |= Price lowered for stock - Budget Box
BS_Merchant02Title |= Merchant 02
BS_Merchant02Desc |= Price lowered for stock - Normal Box
BS_Morale01Title |= Morale 01
BS_Morale01Desc |= Staff gain +1 to Stamina with every 2 levels of friendship
BS_Morale02Title |= Morale 02
BS_Morale02Desc |= Staff gain +2 to all stats when their Mood is good. This boost is retained outside of work
BS_LodeOfStuff01Title |= Lode of Stuff 01
BS_LodeOfStuff01Desc |= A random ore is produced by the rock outside
BS_LodeOfStuff02Title |= Lode of Stuff 02
BS_LodeOfStuff02Desc |= The ore on the rock has a high yield when mined
BS_LodeOfStuff03Title |= Lode of Stuff 03
BS_LodeOfStuff03Desc |= The ore mined will match the quality of the highest quality tool/weapon you sold the previous day

AP_Stock01Title |= Apothecary Stock 01
AP_Stock01Desc |= Order from a selection of common items
AP_Stock02Title |= Apothecary Stock 02
AP_Stock02Desc |= Order from a selection of rare items
AP_Stock03Title |= Apothecary Stock 03
AP_Stock03Desc |= Order from a larger selection of rare items
AP_Stock04Title |= Apothecary Stock 04
AP_Stock04Desc |= Order from a selection of Fae items
AP_StockQuality01Title |= Stock Quality 01
AP_StockQuality01Desc |= Player can order an Apothecary Normal Box
AP_StockQuality02Title |= Stock Quality 02
AP_StockQuality02Desc |= Player can order an Apothecary Premium Box
AP_StockQuality03Title |= Stock Quality 03
AP_StockQuality03Desc |= The price of Boxes is reduced
AP_DeliveryTime01Title |= Delivery Time 01
AP_DeliveryTime01Desc |= Stock only takes 2 days for delivery
AP_DeliveryTime02Title |= Delivery Time 02
AP_DeliveryTime02Desc |= Stock only takes 1 day for delivery
AP_Staff01Title |= Apothecary Staff Training 01
AP_Staff01Desc |= When working, Staff gain a +3 to Intelligence
AP_Staff02Title |= Apothecary Staff Training 02
AP_Staff02Desc |= When working, Staff gain a +3 to Constitution
AP_Staff03Title |= Apothecary Staff Training 03
AP_Staff03Desc |= When working, Staff gain a +5 to Intelligence & Constitution
AP_CustomerExp01Title |= Customer Experience 01
AP_CustomerExp01Desc |= Named customers provide a small brass bonus on each sale the friendlier they are with you
AP_CustomerExp02Title |= Customer Experience 02
AP_CustomerExp02Desc |= Named customers give less of a reputation drop when unhappy the friendlier they are with you
AP_CustomerExp03Title |= Customer Experience 03
AP_CustomerExp03Desc |= Named customers provide a small reputation bonus on each sale the friendlier they are with you
AP_SaltySellersTitle |= Salty Sellers 01
AP_SaltySellersDesc |= Visitors to the shop will sell you ingredients on occasions
AP_PeoplePersonTitle |= People Person 01
AP_PeoplePersonDesc |= Higher chance of the Placebo being successful
AP_Merchant01Title |= Merchant 01
AP_Merchant01Desc |= Price lowered for stock - Budget Box
AP_Merchant02Title |= Merchant 02
AP_Merchant02Desc |= Price lowered for stock - Normal Box
AP_Morale01Title |= Morale 01
AP_Morale01Desc |= Staff gain +1 to Stamina with every 2 levels of friendship
AP_Morale02Title |= Morale 02
AP_Morale02Desc |= Staff gain +2 to all stats when their Mood is good. This boost is retained outside of work
AP_RootExtraction01Title |= Root Extraction 01
AP_RootExtraction01Desc |= A random ingredient is gifted every day and left on the tree outside
AP_RootExtraction02Title |= Root Extraction 02
AP_RootExtraction02Desc |= The ingredient on the tree has a high yield when picked
AP_RootExtraction03Title |= Root Extraction 03
AP_RootExtraction03Desc |= The ingredient gifted will match the quality of the highest quality cure you sold the previous day

GS_Fishmonger_SmallFry01Title |= Small Fry 01
GS_Fishmonger_SmallFry01Desc |= Fish of 3 star quality or below, caught in the morning/evening, will have a double yield
GS_Fishmonger_SmallFry02Title |= Small Fry 02
GS_Fishmonger_SmallFry02Desc |= Fish of 4 star quality or below, caught in the morning/evening, will have a double yield
GS_Fishmonger_RiverMasterTitle |= River Master
GS_Fishmonger_RiverMasterDesc |= Staff with Constitution Trait gain 100% tip on 1 in 4 sales
GS_Fishmonger_CatchOfTheDayTitle |= Catch Of The Day
GS_Fishmonger_CatchOfTheDayDesc |= Catch 5 fish during dawn to apply the Barter Trait to the player and staff
GS_Fishmonger_Perk5Title |= Fish Whisperer
GS_Fishmonger_Perk5Desc |= Once per season. Gift 5 identical 4 star fish in a row to trigger a 'Fish Frenzy' Event

GS_Bakery_BakerDozen01Title |= Bakers Dozen 01
GS_Bakery_BakerDozen01Desc |= Baked goods (Use Egg & Flour) of 3 star quality or below, crafted in the morning, will have a double yield.
GS_Bakery_BakerDozen02Title |= Bakers Dozen 02
GS_Bakery_BakerDozen02Desc |= Baked goods (Use Egg & Flour) of 4 star quality or below, crafted in the morning, will have a double yield.
GS_Bakery_AromaMasterTitle |= Aroma Master
GS_Bakery_AromaMasterDesc |= Staff with Scent Trait gain 100% tip on 1 in 4 sales
GS_Bakery_FreshBreadTitle |= Fresh Bread
GS_Bakery_FreshBreadDesc |= Bake 5 items (Use Egg & Flour) during dawn to apply the Barter Trait to the player and staff
GS_Bakery_Perk5Title |= Sweet Temptation
GS_Bakery_Perk5Desc |= Once per season. Gift 3 identical 4 star Baked items in a row to trigger a 'Craving' Event

GS_Greengrocer_QualityGoods01Title |= Quality Goods 01
GS_Greengrocer_QualityGoods01Desc |= Eat a 5 star fruit/veg in the afternoon to increase the yield of that item till the end of the afternoon
GS_Greengrocer_QualityGoods02Title |= Quality Goods 02
GS_Greengrocer_QualityGoods02Desc |= Eat a 3 star fruit/veg in the afternoon to increase the yield of that item till the end of the afternoon
GS_Greengrocer_SocialMasterTitle |= Social Master
GS_Greengrocer_SocialMasterDesc |= Staff with Gossip Trait gain 100% tip on 1 in 4 sales
GS_Greengrocer_FreshProduceTitle |= Fresh Produce
GS_Greengrocer_FreshProduceDesc |= Harvest 10 items to apply the Barter Trait to the player and staff
GS_Greengrocer_Perk5Title |= Grown Delights
GS_Greengrocer_Perk5Desc |= Once per season. Gift 5 identical 4 star Fruit/Veg to trigger a 'Craving' Event

AP_Herbalist_Botanist01Title |= Botanist 01
AP_Herbalist_Botanist01Desc |= Picking the same Quill flower/herb in a row will increase its yield by +1
AP_Herbalist_Botanist02Title |= Botanist 02
AP_Herbalist_Botanist02Desc |= Picking the same Fae flower/herb in a row will increase its yield by +1
AP_Herbalist_HerbMasterTitle |= Herb Master
AP_Herbalist_HerbMasterDesc |= Staff with Digestive Trait gain 100% tip on 1 in 4 sales
AP_Herbalist_NaturesOfferingTitle |= Natures Offering
AP_Herbalist_NaturesOfferingDesc |= Gift a 4 star Herb as a Brownie offering to reduce reputation lost from side effects by half
AP_Herbalist_Perk5Title |= Full Bloom
AP_Herbalist_Perk5Desc |= Once per season. Gift 5 identical 4 star flowers in a row to trigger a 'Flower Bloom' Event

AP_Exotic_EveningHunt01Title |= Evening Hunt 01
AP_Exotic_EveningHunt01Desc |= Common monster drops have a yield of +1 during the Evening
AP_Exotic_EveningHunt02Title |= Evening Hunt 02
AP_Exotic_EveningHunt02Desc |= Rare monster drops have a yield of +1 during the Evening
AP_Exotic_BeastMasterTitle |= Beast Master
AP_Exotic_BeastMasterDesc |= Staff with Bravery Trait gain 100% tip on 1 in 4 sales
AP_Exotic_ImmunityTitle |= Immunity
AP_Exotic_ImmunityDesc |= Reduce reputation lost from side effects by half by having the Blessed trait active for the player
AP_Exotic_Perk5Title |= Blood Lust
AP_Exotic_Perk5Desc |= Once per season. Gift 5 identical 4 star Monster Parts in a row to trigger a 'Blood Moon' Event that night

AP_Potion_Preparation01Title |= Preparation 01
AP_Potion_Preparation01Desc |= Potions of 3 star quality or below, crafted in the evening, will have a double yield.
AP_Potion_Preparation02Title |= Preparation 02
AP_Potion_Preparation02Desc |= Potions of 4 star quality or below, crafted in the evening, will have a double yield.
AP_Potion_PotionMasterTitle |= Potion Master
AP_Potion_PotionMasterDesc |= Staff with Anti-Sickness Trait gain 100% tip on 1 in 4 sales
AP_Potion_PotionAgingTitle |= Potion Aging
AP_Potion_PotionAgingDesc |= Reduce reputation lost from side effects by half by using cures from storage
AP_Potion_Perk5Title |= Hypochondriacs
AP_Potion_Perk5Desc |= Once per season. Gift 3 identical 4 star potions to trigger an 'Epidemic' Event

BS_Weapons_MuscleMemory01Title |= Muscle Memory 01
BS_Weapons_MuscleMemory01Desc |= Crafting the same weapon type with Quill Ore in a row will increase its yield by +1
BS_Weapons_MuscleMemory02Title |= Muscle Memory 02
BS_Weapons_MuscleMemory02Desc |= Crafting the same weapon type with Fae Ore in a row will increase its yield by +1
BS_Weapons_WeaponsMasterTitle |= Weapons Master
BS_Weapons_WeaponsMasterDesc |= Staff with Toughness Trait gain 100% tip on 1 in 4 sales
BS_Weapons_WeaponsExpertTitle |= Weapons Expert
BS_Weapons_WeaponsExpertDesc |= Kill 10 enemies to increase how long customers will wait to be served for the day
BS_Weapons_Perk5Title |= Arms Race
BS_Weapons_Perk5Desc |= Once per season. Gift 3 identical 4 star Weapons in a row to trigger a 'Fad' Event

BS_Tool_Perk1Title |= Hard Graft 01
BS_Tool_Perk1Desc |= Crafting the same Tool type with Quill Ore in a row will increase its yield by +1
BS_Tool_Perk2Title |= Hard Graft 02
BS_Tool_Perk2Desc |= Crafting the same Tool type with Fae Ore in a row will increase its yield by +1
BS_Tool_ToolsMasterTitle |= Tools Master
BS_Tool_ToolsMasterDesc |= Staff with Intelligence Trait gain 100% tip on 1 in 4 sales
BS_Tool_ToolsExpertTitle |= Tools Expert
BS_Tool_ToolsExpertDesc |= Harvest 10 items with tools to increase how long customers will wait to be served for the day
BS_Tool_Perk5Title |= Workaholics
BS_Tool_Perk5Desc |= Once per season. Gift 3 identical 4 star Tool in a row to trigger a 'Fad' Event

BS_Jewelry_PrecisionWork01Title |= Precision Work 01
BS_Jewelry_PrecisionWork01Desc |= The first Fae Ore mined each day will produce a yield of +3
BS_Jewelry_PrecisionWork02Title |= Precision Work 02
BS_Jewelry_PrecisionWork02Desc |= The first 3 Fae Ore mined each day will produce a yield of +3
BS_Jewelry_CharmMasterTitle |= Charm Master
BS_Jewelry_CharmMasterDesc |= Staff with Charm Trait gain 100% tip on 1 in 4 sales
BS_Jewelry_CharmExpertTitle |= Charm Expert
BS_Jewelry_CharmExpertDesc |= Gift Fae Ore as a Brownie offering to increase how long a customer will wait to be served for the day
BS_Jewelry_Perk5Title |= Stylist
BS_Jewelry_Perk5Desc |= Once per season. Gift 3 identical 4 star Jewelery/Charm in a row to trigger a 'Fad' Event

UI_Perk_Activated |= Perk Activated

Text_TU_Name_Fishmonger |= Fishmonger
Text_TU_Name_Bakery |= Bakery
Text_TU_Name_Greengrocer |= Greengrocer
Text_TU_Name_Herbalist |= Herbalist
Text_TU_Name_ExoticCures |= Exotic Cures
Text_TU_Name_PotionShop |= Potion Shop
Text_TU_Name_WeaponsStore |= Weapons Store
Text_TU_Name_ToolShop |= Tool Shop
Text_TU_Name_JewelryStore |= Jewellery Store
Skill_EXTRA_PET |= Extra Pet skill acquired!  <Info about skill goes here>

UI_NoKey |= NO TEXT KEY

UI_Pet_Dog |= Chien
UI_Pet_Cat |= Chat
UI_Pet_Chicken |= Poulet
UI_Pet_Pig |= Cochon
UI_Pet_Sheep |= Mouton
UI_Pet_Ewe |= Ewe
UI_Pet_Ram |= Bélier
UI_Pet_Bumba |= Bumbabloopfnoop
UI_Pet_Fili |= Filifryth

UI_Unavailable |= Indisponible
UI_OK |= OK
UI_Yes |= Oui
UI_Disable |= Désactiver
UI_No |= Non
UI_Continue |= Continuer
UI_Begin |= Commencer
UI_Apply |= Appliquer
UI_Back |= Retour
UI_Delete |= Supprimer
UI_None |= Aucun
UI_Buy |= Acheter
UI_Trade |= Échanger
UI_BuyCost |= Acheter ☎<VAR1>
UI_BrassNumber |= ☎<VAR1>
UI_Assign |= Assigner
UI_Play |= Jouer
UI_Next |= Suivant
UI_Confirm |= Confirmer
UI_Exit |= Quitter
UI_Leave |= Partir
UI_Stay |= Rester
UI_Help |= Aide
UI_Dispose |= Disposer
UI_Cancel |= Annuler
UI_Skip |= Passer
UI_Set |= Set
UI_Close |= Fermer
UI_Choose |= Choisir
UI_Accept |= Accepter
UI_AcceptPrizes |= Accepter les prix
UI_Health |= Health
UI_Give |= Give
UI_Take |= Take
UI_Decline |= Decline
UI_Save |= Sauvegarder
UI_Craft |= Craft
UI_Use |= Utiliser
UI_Enter |= Enter
UI_Unknown |= Inconnue
UI_Min |= Min
UI_Max |= Max
UI_OpenVerb |= Ouvrir
UI_RewardNoun |= Récompense
UI_Unlock |= Ouvrir
UI_Cost |= Coût
UI_Release |= Version
UI_Equip |= Equiper
UI_Filter |= Filtre
UI_Eat |= Manger
UI_Hold |= Hold
UI_Drop |= Abandonner
UI_Replace |= Remplacer
UI_Store |= Boutique
UI_Throw |= Jeter
UI_PutAway |= Ranger
UI_Dismount |= Démonter
UI_HoldButton |= Hold
UI_PressButton |= Press
UI_DirLeft |= Gauche
UI_DirRight |= Droite
UI_Autosave |= Sauvegarde Automatique
UI_Var |= <VAR1>

UI_CannotChangeItem |= You cannot change this item.
UI_CannotAfford |= You cannot afford this.
UI_KeyNeeded |= You need the <VAR1> to open this door.
UI_NothingToCollect |= Nothing to collect.
UI_WoodenBucketCantCollect |= Cannot collect this.
UI_PetDeath |= <VAR1> has left this plane of existence.
UI_PetDeathMultiple |= The following animals have left this plane of existence:
UI_InspectingGadgetNoItemsLeft |= No items left to uncover traits from.
UI_InspectingGadgetDiscoverItems |= Search for new items to uncover traits from.
UI_InspectingGadgetCooldown |= The gadget is on cooldown for <VAR1> hours.

UI_PickupType_MADE_BREAD |= Pain
UI_PickupType_MADE_JAM |= Confiture
UI_PickupType_MADE_PIES |= Tartes
UI_PickupType_MADE_PUDDING |= Pudding
UI_PickupType_MADE_SANDWICH |= Sandwich
UI_PickupType_MADE_SOUP |= Soupe
UI_PickupType_MADE_STEW |= Ragoût
UI_PickupType_MADE_POWDER |= Poudre
UI_PickupType_MADE_CREAM |= Crème
UI_PickupType_MADE_POTION |= Potion

UI_Craft_Button |= Craft <VAR1>
UI_Craft_Contest |= Enter

UI_AlreadyFertilisedWarning |= Déjà Fertilisé
UI_AlreadyRipeWarning |= Déjà Mûr

UI_CompleteAdjective |= Compléter

UI_OpenAdjective |= Ouvrir
UI_Closed |= Fermer

UI_Abbreviation_FriendshipPoints |= FP
UI_Abbreviation_ExperiencePoints |= XP
UI_Abbreviation_GrandmasterPoints |= REP
UI_Abbreviation_Points |= <VAR1> points

UI_hour |= heure
UI_Hour |= Heure
UI_Day |= Jour
UI_year |= année
UI_years |= années
UI_Year |= Année
UI_SeasonYear |= <VAR1>, Année <VAR2>

UI_HowMany |= Combien de?
UI_NPCInfo |= NPC Info
UI_AnimalInfo |= Animal Info
UI_ItemInfo |= Item Info

UI_ShopSpecialisation_Fishmonger |= Fishmonger
UI_ShopSpecialisation_Bakery |= Bakery
UI_ShopSpecialisation_Greengrocer |= Greengrocer
UI_ShopSpecialisation_Herbalist |= Herbalist
UI_ShopSpecialisation_ExoticCures |= Exotic Cures
UI_ShopSpecialisation_PotionShop |= Potion Shop
UI_ShopSpecialisation_WeaponsStore |= Weapons Store
UI_ShopSpecialisation_ToolShop |= Tool Shop
UI_ShopSpecialisation_JewelryStore |= Jewellery Store

UI_Stats_Accuracy |= Précision
UI_Stats_Barter |= Troc
UI_Stats_Charm |= Charme
UI_Stats_Constitution |= Constitution
UI_Stats_Intelligence |= Intelligence
UI_Stats_Speed |= Vitesse
UI_Stats_Stamina |= Endurance
UI_Stats_Strength |= Force
UI_Stats_Toughness |= Dureté
UI_Stats_Virility |= Virilité
UI_StatsDescPlayer_Accuracy |= Combat Critical Hit chance\nHelps with Blacksmith crafting
UI_StatsDescPlayer_Barter |= Helps with bartering
UI_StatsDescPlayer_Charm |= FP gains\nOffset REP losses
UI_StatsDescPlayer_Constitution |= Combat resistance to certain enemy attacks\nHelps with Apothecary crafting
UI_StatsDescPlayer_Intelligence |= Increases sandbox XP gain\nIncreases weapon XP gain\nHelps with Apothecary crafting
UI_StatsDescPlayer_Speed |= Movement speed\nIncrease combat parry window
UI_StatsDescPlayer_Stamina |= Combat Stamina regeneration speed
UI_StatsDescPlayer_Strength |= Combat damage modifier\nAmount of Blacksmith anvil hits
UI_StatsDescPlayer_Toughness |= Reduces damage taken from blocked enemy attacks
UI_StatsDescPlayer_Virility |= Ability to conceive and perform
UI_StatsDesc_Accuracy |= Higher quality items when crafting in jobs
UI_StatsDesc_Barter |= Chance to get a better deal
UI_StatsDesc_Charm |= Reduce REP drops when working
UI_StatsDesc_Constitution |= Chance of crafting higher quality cures
UI_StatsDesc_Intelligence |= XP gain from family orders\nWork XP gain\nApothecary cure improvement chance
UI_StatsDesc_Speed |= Movement speed\nTime taken to serve customers
UI_StatsDesc_Stamina |= Reduce energy drain while working
UI_StatsDesc_Strength |= Blacksmith crafting improvement chance
UI_StatsDesc_Toughness |= Helps negate damage in Gathering combat
UI_StatsDesc_Virility |= Ability to conceive and perform
UI_Stats_Age |= Age
UI_Stats_Birthday |= Anniversaire
UI_Stats_Mood |= Humeur
UI_Stats_Mood_Bad |= Mal
UI_Stats_Mood_Neutral |= Neutre
UI_Stats_Mood_Good |= Bien
UI_Stats_Mood_Excellent |= Excellent
UI_Stats_Trait_Stamina |= Energy drain / recharge speed
UI_Stats_Trait_Laziness |= Increased energy drain
UI_Stats_Trait_Intelligence |= XP gain\nApothecary cure quality
UI_Stats_Trait_Stupidity |= XP gain reduction\nApothecary quality reduction
UI_Stats_Trait_Strength |= Blacksmith crafting quality
UI_Stats_Trait_Weakness |= Blacksmith quality decrease
UI_Stats_Trait_Barter |= Barter minigame skill increase
UI_Stats_Trait_Weak-Willed |= Weaker bartering ability

UI_Map_Exits |= Area Exits
UI_Map_Locations |= Locations
UI_Map_Homes |= Homes
UI_Map_DateSpots |= Date Spots
UI_Map_Underground |= No Map Available

UI_Adoption_Title |= Adoption
UI_Adoption_AskAdopt |= Adopt this child?
UI_Adoption_AdoptAction |= Adopt
UI_Adoption_NameText |= What is this child's name?
UI_Successor_Title |= Choose Successor
UI_Successor_Title_NoChildren |= You have no children, choose an orphan
UI_Successor_AskChoose |= Choose <VAR1>?

UI_Combat_Start |= Start
UI_Combat_Warning |= Are you sure you want to enter the forest without learning the ways of combat? Jogon can teach you essential abilities that will aid your adventure.
UI_Combat_AutoEquip |= Auto Equip
UI_Combat_ClearEquip |= Clear
UI_Combat_ViewAllLoot |= View all loot
UI_Combat_CampfireText |= Light the campfire and eat your meal? Taking a break will cause you to wander far deeper into the woods...
UI_Combat_LightCampfire |= Light campfire
UI_Combat_DeathRevive |= Death becomes you, child.\nYet this is not the end.\nI shall revive you this time, but use up your chances and payment must be taken.
UI_Combat_DeathTax |= Death embraces you child.\nI shall revive you but it will be added to your tax.\n I suggest improving your strength, toughness and equipment. Now, wake up!
UI_Combat_InstantDeathTax |= Death embraces you child.\nI shall revive you but it will be added to your tax.\nNow, wake up!
UI_Combat_AdventureComplete |= Adventure Complete
UI_Combat_TimeTaken |= Time Taken <VAR1>
UI_Combat_OneArrow |= Collected 1 arrow
UI_Combat_Arrows |= Collected <VAR1> arrows
UI_Combat_ScavengeArrow |= Scavenged 1 arrow
UI_Combat_ArrowsMax |=  - Arrows full
UI_Combat_Deeper |= Deeper
UI_Combat_LeaveForest |= Leave Forest
UI_Combat_Continue |= Continue
UI_Combat_ConfirmLeave |= Take your loot and leave the forest?
UI_Combat_AlreadyUsedEffigy |= You have already called this Goddess.
UI_Combat_NotHaveEffigy |= You do not have any <VAR1>.
UI_Combat_Druida |= A rain of giant fruit will damage any enemy they hit.
UI_Combat_Freyl |= Vines will hold all your enemies and drain stats to make them weaklings.
UI_Combat_Morwenna |= Summon a trampling horde of animals that will decimate all enemies.
UI_Combat_Hyalis |= The scales of life and death will either heal you, or distribute 100 damage amongst all foes.
UI_Combat_Naida |= Transform a single random enemy into a harmless scarecrow for you to pummel.
UI_Combat_Aurore |= Lightning strikes fry your foes with the power of nature.
UI_Combat_Effigies |= Effigies
UI_Combat_EffigiesHowTo |= Dish out 500 HP of damage to monsters to call upon a Goddess.
UI_Combat_RequireWeapon |= You must equip a sword
UI_Combat_Loadout_Help |= This is the combat Loadout screen.\nFrom here you can select up to 2 weapons, a Ward and a Charm, pets and a meal for campfires.\nWhen you are prepped, press Start.\nOnce in the forest, there are 10 depths.\nThe deeper you go, the harder it gets, but you will receive higher star-rating loot.\nThe indicators in the top right of the UI tell you the room you are in and the depth. There are 15 rooms and 10 levels of depth.\nA rescue task will always be in the last room of any depth, so it will just depend on what loot you want on the way.\nA campfire will heal you but take you 3 depths deeper.\nYou can retreat after any combat with your loot intact.\nDie, and you will get a portion of the loot gained but will lose a chance. Use up your chances and it will cost 1 year of life to be revived, so be careful!
UI_Combat_ExpectedDamage |= Typical damage: <VAR1>

UI_Combat_Minigame_Mushrooms |= Memorise the Pattern
UI_Combat_Minigame_Well |= Throw some brass and make a wish...
UI_Combat_Minigame_Statues |= Destroy the Statues

UI_Combat_Pet_Cat |= •Player +1 INT\n•Hags -2 STR\n•Hags -2 TGH\n•Hags -2 CON\n•Chance of double loot from Hags, Banshee and Remnants
UI_Combat_Pet_Dog |= •Player +1 STR\n•Stuns monsters by barking
UI_Combat_Pet_Pig |= •Player +1 TGH\n•Barge monsters causing damage and stamina reduction
UI_Combat_Pet_Ewe |= •Can cause monsters to sleep and causes -3 STA
UI_Combat_Pet_Ram |= •Charges at monsters causing damage and causes -3 TGH
UI_Combat_Pet_Bumba |= •Heals player 5-10 HP\n•Player +2 TGH
UI_Combat_Pet_Fili |= •Player +2 CON\n•Clears nodes of obstacles
UI_Combat_Pet_NotSuitable |= <VAR1> is not suitable for combat.

UI_Reward_PerStarRating |= <VAR1> per ★
UI_Reward_SecretCode |= Secret Code:
UI_Reward_SecretCodeReward |= Secret Code
UI_Reward_Reward |= Reward:
UI_Reward_MoneyScaledByUnknownGiftedItems |= ☎<VAR1>x Item Value
UI_Reward_MoneyScaledByRatingRange |= ☎<MIN>-<MAX>
UI_Reward_MoneyScaledByRatingRange_Desc |= \nI'll pay extra for a higher ★ quality.

UI_Info_Likes |= <VAR1> likes <VAR2>
UI_Info_Dislikes |= <VAR1> dislikes <VAR2>
UI_Info_Trait |= Trait
UI_Info_Rating |= <VAR1> rating tip
UI_Info_Birthday |= Learned <VAR1>'s birthday
UI_Info_FriendshipUp |= Friendship rating up
UI_Info_FriendshipDown |= Friendship rating down
UI_Info_ShopDelivery |= Shop delivery
UI_Info_ShopDeliveryOverflow |= Storage full, sent to inventory

UI_Seed_Convert |= Convert rotten apples?
UI_Seed_NeedApples |= You have no rotten apples to convert

UI_Whistle_Summon |= Appeler
UI_Whistle_Stay |= Rester
UI_Whistle_Home |= Rentre à la maison
UI_Whistle_Sell |= Vendre
UI_Whistle_Select |= Sélectionner
UI_Whistle_SelectNone |= Ne rien sélectionner
UI_Whistle_NoPets |= Vous n'avez pas d'animaux domestiques.

UI_MusicBox_SetYears |= Set years:

UI_GoodsStore_RemovePet |= Supprimer
UI_GoodsStore_ClearPlinth |= Clear Plinth
UI_GoodsStore_SetPrice |= Prix:
UI_GoodsStore_SetQuantity |= Quantité:
UI_GoodsStore_Trade |= Will you buy a <VAR1> for ☎<VAR2>?
UI_GoodsStore_Plinth |= <VAR1>, ☎<VAR2>

UI_Mapping_GAME_UP |= Haut
UI_Mapping_GAME_DOWN |= Bas
UI_Mapping_GAME_LEFT |= Gauche
UI_Mapping_GAME_RIGHT |= Droite
UI_Mapping_GAME_INTERACT |= Interagir
UI_Mapping_GAME_ACTION |= Action
UI_Mapping_GAME_PAUSE |= Pause, Options
UI_Mapping_GAME_ALT_USE |= Alt Action
UI_Mapping_GAME_DISCARD |= Discard
UI_Mapping_GAME_DISMOUNT |= Animals, Dismount
UI_Mapping_GAME_STATUS |= Information overlay
UI_Mapping_GAME_INVENTORY |= Inventaire
UI_Mapping_GAME_SKILLS |= Skills
UI_Mapping_GAME_PLAYER_INFO |= Personnages
UI_Mapping_GAME_MAP |= Carte
UI_Mapping_GAME_CALENDAR |= Tâches, Calendrier
UI_Mapping_GAME_THATTERWAY |= Thatterway
UI_Mapping_GAME_THATTERWAY |= Thatterway
UI_Mapping_GAME_SPEED_CHANGE_GAMEPAD |= Alt action, Change speed
UI_Mapping_GAME_BUG_REPORT |= Bug report
UI_Mapping_GAME_ITEM_1 |= Quick Item 1
UI_Mapping_GAME_ITEM_2 |= Quick Item 2
UI_Mapping_GAME_ITEM_3 |= Quick Item 3
UI_Mapping_HOTBAR_1 |= Quick Item 1
UI_Mapping_HOTBAR_2 |= Quick Item 2
UI_Mapping_HOTBAR_3 |= Quick Item 3
UI_Mapping_HOTBAR_4 |= Quick Item 4
UI_Mapping_HOTBAR_5 |= Quick Item 5
UI_Mapping_HOTBAR_6 |= Quick Item 6
UI_Mapping_HOTBAR_7 |= Quick Item 7
UI_Mapping_HOTBAR_8 |= Quick Item 8
UI_Mapping_HOTBAR_9 |= Quick Item 9
UI_Mapping_HOTBAR_10 |= Quick Item 10
UI_Mapping_GAME_BUBBLEHELP |= Bubble help
UI_Mapping_COMBAT_UP |= Move up
UI_Mapping_COMBAT_DOWN |= Move down
UI_Mapping_COMBAT_BLOCK |= Block/Parry
UI_Mapping_COMBAT_ITEM |= Item
UI_Mapping_COMBAT_EFFIGY |= Effigy
UI_Mapping_COMBAT_ENEMY_TOP |= Attack top
UI_Mapping_COMBAT_ENEMY_LEFT |= Attack middle
UI_Mapping_COMBAT_ENEMY_BOTTOM |= Attack bottom
UI_Mapping_COMBAT_BOW |= Arc
UI_Mapping_COMBAT_TOGGLE_WEAPON |= Change weapon

UI_Mapping_KBMSetKey |= <VAR1> Set key
UI_Mapping_KBMClearKey |= <VAR1> Clear key
UI_Mapping_KBMCancel |= <VAR1> Cancel

UI_Mapping_UI_UP |= Haut
UI_Mapping_UI_DOWN |= Bas
UI_Mapping_UI_LEFT |= Gauche
UI_Mapping_UI_RIGHT |= Droite
UI_Mapping_UI_ACCEPT |= Accepter
UI_Mapping_UI_ALT |= Function 1
UI_Mapping_UI_ALT2 |= Function 2
UI_Mapping_UI_CANCEL |= Annuler
UI_Mapping_UI_HELP |= Aide
UI_Mapping_UI_TAB_NEXT |= Tab Right
UI_Mapping_UI_TAB_PREV |= Tab Left
UI_Mapping_UI_SECONDARYTAB_NEXT |= Tab Down
UI_Mapping_UI_SECONDARYTAB_PREV |= Tab Up

UI_Tinker_Description_Fishmonger |= Assigning your Goods Store to the Fishmonger Specialisation comes with a range of incentives:\n- Increased number of customers at dawn\n- Customers more likely to purchase fish\n- Bonus reputation gains when selling fish\n- Access to a range of unique shop Perks\nBut working with raw fish has its downsides.\nWorking in the Fishmonger has a chance to apply the Stench trait to both you and your staff.
UI_Tinker_Description_Bakery |= Assigning your Goods Store to the Bakery Specialisation comes with a range of incentives:\n- Increased number of customers in the morning\n- Customers more likely to purchase baked goods\n- Bonus reputation gains when selling baked goods\n- Access to a range of unique shop Perks\nBut being around all those pastries all day can't be healthy for you.\nWorking in the Bakery has a chance to apply the Laziness trait to both you and your staff.
UI_Tinker_Description_Greengrocer |= Assigning your Good Store to the Greengrocer Specialisation comes with a range of incentives:\n- Increased number of customers in the morning\n- Customers more likely to purchase fruit & veg\n- Bonus reputation gains when selling fruit & veg\n- Access to a range of unique shop Perks\nBut being around all that veg can't be good for the stomach.\nWorking in the Greengrocer has a chance to apply the Flatulence trait to both you and your staff.
