JournalInstructionsTitle |= Journal
SiblingDay3SeedsComplete |= Oh, what seeds did you get? Did Uncle Bill tell you to use the watering can? 'Cos you got to water them every day, or they'll dry up and stop growing. That must be what happened to me, or we'd have a whole bunch of chocolate plants by now.
Jeremie SmithDay4SickleIntro |= Well, hello there, young 'un. Hmm, all out of sickles, I'm afraid. I'm also afraid of going into the mine to dig for ore, which is why we're out of sickles. I heard some knocking, so I got straight out of there!
Jeremie SmithDay4SickleIntro |= But tell you what, here's the key to the mine. If you're brave enough to get your own ore, pop back into the Smithy, and I'll show you how to make your own sickle. Goddesses go with you because I sure am not!
Jeremie SmithDay4SickleIntro |= You'll find the mine behind our house, which is up and left from the Smithy. You probably won't run into any Knockers but just in case, it was nice knowing you.
Geoffrey BlackDay4SickleIntro |= You'll have to speak to Jeremie for all your sickle-related enquiries.
Geoffrey BlackDay4SickleIntroBegone |= Best be careful in that mine. It's a health and safety nightmare, that place.
Jeremie SmithDay4GotOre |= Well, drop an anvil on my toe! Here you are, alive and with a pocketful of ore! You've earned a lesson in the noble art of smithing, that's for sure. Get a hold of the chain on that forge, and we'll get started.
TraderStallCalls |= Get yer goods here!
TraderStallCalls |= Quality goods for sale!
Mother HubbardINTRO |= Curried custard! Oh, sorry, didn't see you there. Just had a new recipe idea. Name's Old Mother Hubbard - Master Cook, sorceress of sauces, prodigy of porridges, virtuoso of victuals.\nThe gardens of the Goddesses themselves are perfumed with the aromas coming from my kitchen. That's how good I am!
Mother HubbardINTRO |= Now, as a Master, it is my sworn duty to pass on my skills to anyone who wants to learn. So if you want to become a doyen of dough, a guru of gruel, a shaman of soup, bring whatever ingredients I ask for. You'll see that my recipes bring all sorts of marvellous boons.
Mother HubbardINTRO |= We'll start with something easy. Bring me an ordinary cabbage, and I'll show you how to transform it into hearty, delectable stew. It does have some socially awkward side effects, but flatulence is a small price for keeping you full for a good long while.
Mother HubbardINTRO |= You'll see that using ingredients to whip up delicious dishes is much better than eating raw ingredients like a rube. The benefits are greater and last longer. So bring me that cabbage and we'll get started!
Mother HubbardRetrievedRecipe |= Wonderful! A Master always keeps a promise, so let's pounce on the stove so I can show you the basics.
Mother HubbardFIRST_SKILL |= Ah, the humble yet mighty cabbage. Let's turn it into the aptly named Simpleton's Stew, which even a halfwit could make without much trouble. Of course, most of the people in the Vale are quarterwits... Anyway, as you cook, be sure to look at the trait of each ingredient, if you've managed to learn them.\nYou'll find plenty of tips in a book I have lying around here, but the most important thing is to get your timings right so everything cooks at the same time. And don't forget to check with me now and again to see what you need before I can teach you more skills. Who knows? You might be good enough for us to have a cook-off one day. *wink*
Mother HubbardBakingIntro |= Ahhh, nothing quite compares to baking. The intoxicating aromas, the magical crusting of pastry, the ethereal rising of a cake mix... And I hope to share this dark art with you in some not-too-distant updating of our Quillian existence.
Ash BrownCollecting |= Oh, is nature not an intoxicating bliss? And among all creatures, none deserve my lyrical odes as much as the majestic insects that flit and flutter among us. All one needs to entrap these miraculous hexapods is a jar.
Ash BrownCollecting |= Some people like to keep them in such glass cages forever or even bound them in books like frozen little poems. But I rather set them free so that they might continue to fill our world with their vibrant hues.
TUTORIAL_QUESTION |= Skip Tutorial?
RESTART_QUESTION |= Are you sure you want to restart?
QUIT_QUESTION |= Are you sure you want to quit?
DELETE_QUESTION |= Are you sure you want to delete this save?
LOAD_QUESTION |= Load Save?
CLOSE_SHOP_QUESTION |= Closing the shop will send your workers home for the day.\nDo you want to continue?
TwigGrottoIntro |= Twig twog twiggleleedee, Mr Fairweather's waiting for thee! Oh, you must be bursting with excitement? Not many get to meet a real proper Fae.
TwigGrottoIntro |= Now follow them Faery Lights, and I'll dream-hop myself to the crossroads in DRUIDA'S CROSS to the SOUTH and meet you there!
TwigGrottoDruida |= Are you awake, or are you asleep? Well, here's something you'll be wanting to keep! A gift from Mr Fairweather hisself.
TwigGrottoDruida |= It's a really special lantern called the Obscura, and it lets you see things that are normally hidden to those without true sight! Let's just pop that there Glass lens of yours in it. Excitin'!
TwigGrottoDruida |= But don't stop now! Keep following the Faeries, and I'll see you in the SOUTH EAST corner of TESTY ACRES.
TwigGrottoTesty |= We're all just strands in a giant ball of twine, but your wishes will come true deep in the mine! I've got the key for you here.
TwigGrottoTesty |= Just follow the Faeries all the way to the first mine you come to in Crumblechalk.
TwigGrottoGo |= Here you are, in the right place at the right time. No more listening to daft Twig rhyme. Now go on and shine the Obscura onto the big stones while you stand on the circle.
TwigGrottoGo |= Move the beam around until it opens a door. Mr Fairweather waits on the other side, with gifts and treasures you can't imagine. But be careful what you wish for!
Lemmy SippDay5ApothIntro |= Oh, Bill has a bit of a dicky tummy eh? Well, normally we'd prescribe Abdo-Mend powder for Food Poisoning, but we are all out of Cuckoo Dew and Bloodfew. If you gather those for me I'll teach you how to make it. How does that sound?
Lemmy SippDay5ApothIntro |= You can find Cuckoo Dew in Cuckoo Wood mainly. Bloodfew is a bit trickier, but proverbs should help you locate some. Off you go then!
Boots WintersDay5ApothIntro |= Oh, Bill has a bit of a dicky tummy eh? Well, normally, we'd prescribe Abdo-Mend powder, but we are all out of Cuckoo Dew and Bloodfew. If you gather those for me I'll give you some. How does that sound?
Boots WintersDay5ApothIntro |= You can find Cuckoo Dew in Cuckoo Wood mainly. Bloodfew is a bit trickier, but proverbs should help you locate some. Off you go then!
Boots WintersDay5ApothGotDew |= Ahh, just the ticket! Here you go!
Uncle BillMadeSickle |= Nicely done on that sickle by the way. Kept meaning to say. That's very impressive work. Smithing is hard work but can build up your muscles for sure. I prefer the smells of the farm. Pig muck over pig iron, for sure.
TwigGrottoEnterPortal |= Now goes on and meets Mr Fairweather. He's an odd sort, but he has amazin' gifts! And be careful what ya wish for!
Jeremie SmithApprenticeLine |= Well done! You will make a fine smith. You are welcome to use the forge any time, but you do need to provide the ore. I will pay you per item you make at the selling table.  One day you might even make something as great as the hammer my father gave me as an heirloom. I daren't use it as it is so precious!
Jeremie SmithApprentice |= Great! Well, like I said, if you provide the ore then you can make as much as you want. Use the selling table if you want to earn some money from what you make.
GATE |= What's yer business here?
GATE |= I SEE you! I SEE all! You may not pass.
GoddessPrayer |= A gift for your blessings Goddess.
GoddessPrayer |= An offering for you, sweet Druida.
GoddessPrayer |= Druida! Bless our apples and keep us safe.
BrouniePrayer |= Bless this house, wee ones.
BrouniePrayer |= An offering to you, little folk.
BlacksmithApprenticeTutorialSelection |= Let's begin your Smithing apprenticeship!\n\nStart by selecting an ore and a mould. You only have <item:Tin_Ore> and a <item:Sickle_Mould>, but there are many more materials and moulds out there to create anything from jewellery to swords!
BlacksmithApprenticeTutorialBellows |= Melt your ore by holding and releasing <bs_press> to blow the bellows.
BlacksmithApprenticeTutorialHeat |= Lower the item to the forge and heat it by pressing <bs_press>, then press <bs_press> again to remove it - aim for the green marker on the scale!
BlacksmithApprenticeTutorialCool |= Cool the item by pressing <bs_press> to lower it into the water. Then press <bs_press> again to remove it - aim for the green marker on the scale!
BlacksmithApprenticeTutorialHammer |= Press <bs_press> to hammer the item into shape. Aim to totally cover the target. Increase your strength to earn more hits.
BlacksmithApprenticeTutorialGrind |= Hold <bs_press_left> and <bs_press_right> to sharpen your item on the grindstone. Aim for the green areas, grinding a grey area will ruin your item.
BlacksmithApprenticeTutorialEnd |= Great stuff!\n\nYou can store made items in different places to suit your needs or keep it for yourself!\n\nYou made your first item in a Blacksmith. I feel you could become really good at this in time!\nMaybe one day you might even own your own Smithing business!
TravellingTraderDesc |= Salesmen have travelled the lands for centuries, selling everything from Vacuum Cleaners to Knives. In ancient times they went house to house and sold religious tomes, known as Playboy Magazine.
GoodsMarketDesc |= Markets are the lifeblood of every village. Here people can buy fresh goods, try fun events and play carnival games. The sights! The smells! Especially the smells.
PigRacingDesc |= Pig Racing is enjoyed throughout Quill by adult and child alike. Spend some money and have some fun. One day you might even get to breed and race your own fine steeds. And by steeds, I mean bacon on legs.
PigMarketDesc |= Have you run out of juicy bacon? All your pigs popped? Then you need the Pig Auctions! Come along to the Festival Green and bid for the bacon in its rawest form. Alive and not on a plate.
ChickenRacingDesc |= Chicken Racing is a serious competition in Quill. Spend some money, and may the best chicken win.
ChickenMarketDesc |= Looking for a chicken that is finger-licking? Need a fowl whose eggs aren't foul? Come to the auction at the market and chuck a poultry amount of money on quality cluckers!
SheepRacingDesc |= Sheep Racing is not a serious competition in Quill. May the sheep who doesn't feel the urge to feed on grass win.
SheepMarketDesc |= Looking for something a bit fluffier for the farm? Check out these quality bouncing sheep.
DruidaDayDesc |= On this blessed day we pay homage to Druida, in the hope she replenishes our orchards and brings renewed vigour to our fair valley. Make an Offering at any Goddess statue but feel free to join in the festivities.
LemonadeOpenHourQuestion |= How many hours to open for?
SimHit |= Ow, watch it!
SimHit |= Ow, that hurt!
SimHit |= Stop that!
SimHitFriendly |= Why are you doing that?
SimHitUnfriendly |= Curse you!
RESCUECATName |= Cat Rescue
RESCUECATDesc |= Hazel's cat has gone missing, find it and get it to follow you back to Hazel! Use the Thatterway if you need help.
Hazel NuttCatToRescue |= Oh bubblepuffs! One of my kittens has gone missing. Please try to find him. Must have wandered into the woods! He was a climber so check the trees!
Hazel NuttCatRescued |= Oh thank you! You must be a true cat lover. Would you like to buy one of my cats? Just choose any except little old Bubblepuff on my head...can't bear to be without him. Only 10 Brass each...
DARK_LIGHT_TUTORIAL |= Toggle the dark light mode on or off with Q or Right Stick; this may help you get to new places!!
Blacksmith_ItemBroken |= Item broken.
Blacksmith_ItemBrokenDesc |= The crafting process failed and you have lost the ore.
Blacksmith_ItemLowRating |= Item low rating.
Blacksmith_ItemLowRatingDesc |= The item's rating is too low for a reward.
Blacksmith_AnvilHit |= Hit
Blacksmith_Forge |= Forge
Blacksmith_Cool |= Cool
Blacksmith_Bellow |= Bellows
Blacksmith_Select |= Select
Blacksmith_Orders |= Orders
BlacksmithCrafter_NoOre |= Got no ore to work with here!
BlacksmithCrafter_NoCraftingToDo |= No orders and already put some stuff on the shelves.
Barter_Stop |= Stop
Harry BuckleINTRO |= To brew! To mead! Can I get thee sommat to sup? My brother 'n' I run the local drinking ebstashblissment. Burp! I think I may have much too drunk!
Saul BuckleINTRO |= To mead! To brew! A flagon for when yer flaggin'? My brother and meself own the local pub. You must pop in sometime. Not literally! That would be messy and you don't look like a balloon!
Rock SaltINTRO |= Anything you need in particular? I am a busy man. There is too much joviality around these parts, and I have no time for japes or idle banter.
Celia SaltINTRO |= Oh, hello! It's exciting to see a new face around here. It would be nice to talk sometime. Conversation is thin on the ground in this house.
Roman SaltINTRO |= Glub! Bwaaaa.
Peter PepperINTRO |= Wahey! Welcome! Smell my finger! Know any good jokes? Apart from your face? Zing! Last time I saw someone with hair like yours, I was at a sheep market. Kadumph!
Carolina PepperINTRO |= Oh, please tell me not another joker. There comes a time in one's life when the jokes cease to sparkle, when puns lose their lustre, and the only thing left is to make vague references.
Belle PepperINTRO |= I'm Belle! You can give me a ring anytime, cutie! I am like a calendar; I just love dates. And prunes.
Rosie CrustINTRO |= Oh, fluffy crusts my lover! Welcome to Poppyhill! Home of the greatest pies and pastries known to woman. I just keep achin' to get bakin'! I'd love to pop your cherry...onto one of my cakes.
Finn CrustINTRO |= Ooh good day to you! A fellow fancier of pie? A cake connoisseur? Perhaps a bun bandit! Keep your hands off my wife's baps!
Herbie WeedINTRO |= Heyyy there you. If you need any medicinal plants, then I'm your man, man. Our prices may be higher, but being high is not a bad thing is it?
Ivy WeedINTRO |= Hi there. You look like the type who knows how to mix pleasure and pleasure. I could mix you something to give you extra energy and make every sense a rainbow of dancing starlight.
Hannah HammerINTRO |= How do. We make pretty good items in our Smithy, so if you want to buy owt, Nerys is yer woman. I shape, she ships.
Nerys NailINTRO |= Hello there! I'm Nerys Nail. It's funny because I work in a blacksmiths where we make nails. I prefer painting nails than making them personally *giggle*.
Edward WoodINTRO |= Well, greetings! Welcome to Summerdown. Good to see a new face that isn't full of crumbs and sauce stains. Just me and Daisy here. She's not the trusting type since what happened to her mother, but she's a good lass.
Daisy WoodINTRO |= Hello. Dad said I have to be polite to everyone. Treat others how you want to be treated yourself, dad says.
Poppy SeedINTRO |= Oooh! Well, hello sapling. You look like a person who could show a girl the darkest corners of the forest. We should go explore them sometime. You bring the wood, and I will make the fire.
Kane HinesINTRO |= Hello. Are you a lover of dogs too. I am. I love dogs. I write books too. Perhaps you have read them? They are very useful. Did you know a dog shakes its tail when happy. I sometimes do that too.
Roger ReadilyINTRO |= Well what do we have here? A strange face, ahhh but a pretty one. I am at your service, and servicing is what I do best. Readily by name, Roger by nature. Woof!
Rose ThornINTRO |= Welcome, welcome! Spirits and Goddesses bless you this day. An incantation I whisper in your honour, and my aura warms in your presence.
JogonINTRO |= Och! Have ye come to batter some beasties? Mash up some monsters? Not in that state ye aren't! Not seen ye before, and I would feel bad if I was to let ye go wandering in there and get eaten.
JogonINTRO |= I am Jogon, Master of hand-to-hand combat. I can teach ye the basics to at least let myself feel slightly less guilty when ye do get chomped on like a meat lollipop.
JogonINTRO |= Meet me inside the barrow just over there to the west, and let's get cracking...some skulls! Bring a sword!
JogonCOMBAT_TUTORIAL_NEED_WEAPON |= What?! I told ye to bring a sword. Go get one from Poppyhill blacksmiths or wherever. C'mon! Pull it together! It's all about the preparation!"
JogonCOMBAT_TUTORIAL_BEGIN |= Ready to learn the fine art of clobberin'? Then let's get cracking...some ribs!
Herbert LemonLEAVEVALE |= Tragedy and Fae dealings! Herbert knows such things. Herbert also knows what you seek. Now you are of age you can pass the Gate and find it, yes you can! Seek The Circle!
Herbert LemonLEAVEVALE |= The world beyond waits, with adventure and danger! Herbert wishes you well. If you need to protect yourself, seek Master Jogon in Rivermoor, just beyond this door. Now go you must!
FairweatherINTRO |= I'm so pleased you could join me again. Now you have seen what true shadows look like. You have seen what a farce the world of humans is. Forcing a child to choose a sacrifice? What small-minded, pitiful creatures they are.
FairweatherINTRO |= But not you. With you begins a lineage that will accomplish wonders. A dynasty that will achieve complete mastery over all things. And all it takes is...a seed.
FairweatherINTROExtra |= The Kynseed. Once it flowers you will be bonded to its magic and though you may succumb to the irresistible call of the grave, your essence will live on as a guardian of your progeny - and each generation stronger than the last. Your spirit will be stronger than any Quill has seen before.
FairweatherINTROExtra |= But first...you must agree to a contract. A mere formality, I assure you.
FairweatherINTRO2 |= Splendid. Then our covenant is in place. Now you must plant the seed on the hill above the house you call home. Its roots will be your roots. And it will flower many times, just as your family will.
FairweatherINTRO2 |= But that is not my only gift tonight. You have already experienced what drudgery and hard work life can bring, and these trinkets can ease your burden. You may choose one of them now, though you will be able to call upon me in the future if you wish to trade for more.
FairweatherINTRO2 |= In any case, I will pay you a visit as midnight strikes at the year's end to collect my modest fee for any services rendered. Until the next time, my child.
FairweatherTillNextYear |= I applaud your eagerness, my child, but even my power to bestow gifts has its limits. You will have to wait until next year. It will be worth the wait, believe me.
ChatOption_Introduce |= Introduire
ChatOption_Greeting |= Salutations!
ChatOption_Continue |= ...
ChatOption_HowAreYou |= Comment allez-vous?
ChatOption_Gift |= Cadeau
ChatOption_TaskInfo |= Any Task Info?
ChatOption_Favour |= Faveur
ChatOption_LowTierGossip |= Potin
ChatOption_Response |= CustomResponse
ChatOption_HighTierGossip |= Secrets
ChatOption_Bye |= Au revoir!
ChatOption_AcceptFavour |= Accepter
ChatOption_DeclineFavour |= Refuser
ChatOption_Close |= Fermer
ChatOption_Yes |= Oui
ChatOption_No |= Non
ChatOption_Ok |= Ok
ChatOption_Repeat |= Répéter
ChatOptionSecretBox |= As you have been good to me, here's a digit to my family secret box... <VAR1>
ChatOptionSecretInfoLimit |= I don't have any more info to pass on this season.
ChatOptionGreetingMorning |= Good morning.
ChatOptionGreetingAfternoon |= Good afternoon.
ChatOptionGreetingEvening |= Good evening.
ChatOptionByeT2_Positive |= Farewell.
ChatOptionByeT2_Neutral |= Goodbye. Til we meet again.
ChatOptionByeT2_Negative |= About time.
ChatOptionByeT3_Positive |= Farewell! It was good to talk.
ChatOptionByeT3_Neutral |= Goodbye for now.
ChatOptionByeT3_Negative |= Hmmmph.
ChatOptionAcceptFavour |= Great!  Hurry along then.
ChatOptionDeclineFavour |= Hummpph.
ChatOptionDeclineFavour |= Fair enough.
ChatOptionHowAreYouHungry_Positive |= I am peckish.
ChatOptionHowAreYouOk_Positive |= I am ok.
ChatOptionHowAreYouHappy_Positive |= I feel happy!
ChatOptionHowAreYouSad_Positive |= I am a bit sad.
ChatOptionHowAreYouIll_Positive |= I am not feeling very well.
ChatOptionHowAreYouTired_Positive |= I feel tired.
ChatOptionHowAreYouBusy_Positive |= Am a busy bee.
ChatOptionHowAreYouUnhappy_Positive |= I am not in a good mood.
ChatOptionHowAreYouGreat_Positive |= I feel great!
ChatOptionHowAreYouHungry_Neutral |= I'm a bit hungry.
ChatOptionHowAreYouOk_Neutral |= Not too bad thanks.
ChatOptionHowAreYouHappy_Neutral |= All smiles today.
ChatOptionHowAreYouSad_Neutral |= I am a bit down.
ChatOptionHowAreYouIll_Neutral |= I feel ill.
ChatOptionHowAreYouTired_Neutral |= I need sleep!
ChatOptionHowAreYouBusy_Neutral |= I am busy!
ChatOptionHowAreYouUnhappy_Neutral |= I am a bit angry.
ChatOptionHowAreYouGreat_Neutral |= Wonderful!
ChatOptionHowAreYouHungry_Negative |= I am hungry, but it's not your business!
ChatOptionHowAreYouOk_Negative |= What do you care if I am ok or not?
ChatOptionHowAreYouHappy_Negative |= Would be even happier if you were not around.
ChatOptionHowAreYouSad_Negative |= Seeing you makes me feel low.
ChatOptionHowAreYouIll_Negative |= I am unwell. So what?
ChatOptionHowAreYouTired_Negative |= Tired of talking to you.
ChatOptionHowAreYouBusy_Negative |= Too busy to talk to the likes of you!
ChatOptionHowAreYouUnhappy_Negative |= I am furious!
ChatOptionHowAreYouGreat_Negative |= I feel great, no thanks to you.
ChatOptionHowAreYouBetterNow_Positive |= Feeling better now, thanks!
ChatOptionHowAreYouBetterNow_Neutral |= Feeling better now, thanks!
ChatOptionHowAreYouBetterNow_Negative |= Feeling better now, I suppose.
ChatOptionFavour |= Pouvez-vous me rendre un service?

ChatOptionGiftGreat |= Fantastique! Merci!
ChatOptionGiftGreat |= Justement ce que je voulais!
ChatOptionGiftGreat |= Tu sais ce dont j'avais besoin.
ChatOptionGiftGreat |= C'est très, très gentil.
ChatOptionGiftGreat |= Génial!
ChatOptionGiftGreat |= Merveilleux!
ChatOptionGiftGreat |= Oh! C'est très gentil!
ChatOptionGiftGreat |= J'adore!
ChatOptionGiftGreat |= You are a star.
ChatOptionGiftGood |= Lovely stuff.
ChatOptionGiftGood |= C'est sympa.
ChatOptionGiftGood |= Merci pour ça.
ChatOptionGiftGood |= Merci!
ChatOptionGiftGood |= Ooh joli.
ChatOptionGiftGood |= C'est très gentil de votre part.
ChatOptionGiftGood |= C'est gentil.
ChatOptionGiftGood |= Ca ira très bien.
ChatOptionGiftGood |= Tous mes remerciements.
ChatOptionGiftOk |= Acceptable.
ChatOptionGiftOk |= Ca ira merci.
ChatOptionGiftOk |= Hmmm merci j'imagine.
ChatOptionGiftOk |= Ca ira j'imagine.
ChatOptionGiftOk |= Pas mauvais.
ChatOptionGiftOk |= Santé.
ChatOptionGiftOk |= J'apprécie le geste.
ChatOptionGiftOk |= C'est ok.
ChatOptionGiftOk |= Merci.
ChatOptionGiftBad |= Essayez-vous de me remonter le moral?
ChatOptionGiftBad |= Je déteste ça!
ChatOptionGiftBad |= Inacceptable!
ChatOptionGiftBad |= Inacceptaaaaaable!
ChatOptionGiftBad |= Pourquoi me donneriez-vous ça?!
ChatOptionGiftBad |= Vous rigolez?
ChatOptionGiftBad |= What a terrible thing to give me.
ChatOptionGiftBad |= Dégoûtant!

GiftForTask |= Merci, exactement ce que j'avais demandé.
GiftForTask |= Thank you. That's just the ticket.
GiftForTask |= Thanks! Spot on!
GiftForTask |= Just what was required. Cheers.
GiftForTask |= Ah, Parfait! Pas mal.
GiftForTask |= Exactement ce que j'avais demandé. Merci.
GiftForTask |= Oh, exactement ce que j'avais demandé. Charmant.
GiftForTask |= You are a star. Cheers.

GiftForTaskWaiting |= Merci, j'attendais ça!
ChatOptionSecretLikedItem |= Voici un secret pour toi... mon item préféré est <VAR1>.
ChatOptionSecretHatedItem |= Voici un secret pour toi... je déteste <VAR1> par dessus tout.
ChatOptionSecretLikedItemOtherNPC |= Voici un secret pour toi... J'ai entendu que <VAR1> aime <VAR2>.
ChatOptionSecretHatedItemOtherNPC |= Voici un secret pour toi...  J'ai entendu que <VAR1> n'aime vraiment pas <VAR2>.
ChatOptionSecret |= Je ne connais pas d'autres secrets sur ces items.
ChatOptionGossipAge |= J'ai entendu que <VAR1> a <VAR2> ans.
ChatOptionGossipAgeSelf |= J'ai <VAR1> ans.
ChatOptionGossipBirthday |= Mon anniversaire est le <VAR1>.
ChatOptionGossipBirthdayOther |= I heard <VAR1> was the day <VAR2> was born.
ChatOptionGossip |= Careless talk costs lives. Well, not lives, but something else probably.
ChatOptionGossip |= If you want tittle-tattle, go talk to tattle tittles!
ChatOptionGossip |= I am sorry but if I told you, I would have to sacrifice you.
ChatOptionGossip |= Dead men tell no tales. Live ones who tell tales end up dead.
ChatOptionGossip |= Have I any gossip? Yes. Can you have it? Not yet. 
ChatOptionGossip |= If you can appease or control Knockers, then you can get them to do your mining for you.\nI wonder if there is such a way? It sounds like I am hinting!
ChatOptionGossip |= Did you hear the rhyme about the Buggane? Under bloodied moon by purple pools, the Buggane drinks the waters cool.
ChatOptionGossip |= Do you know why the ancients used iron nails to bury their dead in wooden boxes? Tin wasn't invented. Possibly.
ChatOptionGossip |= Beware of Fel! They change their shape and walk among us! They trick and deceive and play their games! Beware of people with strange names, I tell you! Which, admittedly, is practically everybody in Quill.
ChatOptionGossip |= Legend tells of a magical sack that could catch monsters and make them your servant. It was woven with dragon mane hair, and they say it was sold to a man with big teeth. What I wouldn't give for such a thing!
ChatOptionGossip |= Tickling Tom Hookfingers giggles as he tickles you. Apparently you laugh and scream at the same time if he catches you.
ChatOptionGossip |= There is a rumour within a rumour within a rumour that someone in Quill discovered the existence of a legendary sword. A sword so covered in myth and mystery that steps were taken to erase it from the memory of man and Fae alike. Could such a weapon exist? My very mentioning it probably leads you to believe it does.
ChatOptionGossip |= There once lived a woman who found a baby fox tangled in an old tree root. It is said it had a tail made of flames, but they blazed cold rather than heat. It is likely it ran from its Fae owner and became lost. One day the fox vanished, but a small bag of silver was left on her windowsill.
ChatOptionGossipVALE |= That trader told me he saw a Jabberwock! Said it was tangerine orange and looked like an uncooked chicken that breathed evil green flames. Do you think one got out of the forest?
ChatOptionGossipVALE |= Some wanderer told me that there was an unnatural fog over Stonecrown and he could hear singing within it and that he saw 12 headless ladies dancing across the moor. He also told me he had downed a few pints and that he had a pet dragon called Bert.
ChatOptionGossipVALE |= Did you know that Mellowfields folk wash their hands after using the toilet? Disgusting!
ChatOptionGossipVALE |= Strange murmurings from up north. Moving puddles that grab your ankles. Hopping one-eyed beasts and a cat who can predict the death of your pet fish.
ChatOptionGossipVALE |= That wanderer said there was a rain like no other up in Tunt last week. Someone must have really annoyed Aurore!
ChatOptionGossipVALE |= I found an iron nail stuck in my door the other morning. Someone is trying to warn me. Or it's for hanging something on.
ChatOptionGossipVALE |= Those barrows in Rivermoor are scary. Apparently, if you try to stay the night in one, the spirits tell you to bugger off! There are whispers that the dead meet there to dance. I can't imagine such a thing. I reckon if you saw that it would be a thriller!
ChatOptionGossipVALE |= I heard the Old Woman Who Lives in a Shoe is an orphan herself.
ChatOptionGossipVALE |= Where did the Old Woman Who Lives in a Shoe get that shoe?! Where is the other? There must be a giant hopping around somewhere!
ChatOptionGossipVALE |= If you sprinkle Parsley on your hair after the first day of Spring, you get green hair. True that. Honest.
ChatOptionGossipVALE |= They apparently had a hare problem up at Olive Ridge in Cunning Plots. Now whether that be rabbits digging up the garden or a baldness problem, I don't rightly know.
ChatOptionGossipVALE |= Some fella up in Pinehaven claims he saw the Sagtyt Witch running around during a storm. It was the same night Old Annie Cap vanished.
ChatOptionGossipVALE |= Don't sleep in fairy rings! The little flappy buggers will put spiders in your ears and steal your socks!
ChatOptionGossipVALE |= I ate some dandelion soup last night for supper and the evening dragged on.
ChatOptionGossipVALE |= Those Crumblechalk mines run deep, they say, but nobody knows how to get into them. I am not sure I would dare venture too far, though...bad things are found when you dig too deep!
ChatOptionGossipVALE |= Have you ever seen Fred Barleycorn bounce through Mellowfields in Autumn? He is quite a sight!
ChatOptionGossipVALE |= Light your fire on a winter eve, lest you get poops that freeze.
ChatOptionGossipVALE |= You should try Poppyhill Goods Store if you are a fan of baked goods. They do a pie with pastry so light you could float over Quill after eating one.
ChatOptionGossipVALE |= Poppyhill Music Festival is something special. Bards and musicians from across the land gather to burst your eardrums while people sell you souvenir tat at bloated prices. I bought an imprinted shirt that said 'A Rolling Stone Gathers No Moss'. It was a proverbial rip-off.
ChatOptionGossipVALE |= Have you ever been to the Farting Festival in Woemarsh? I heard it's a gas. I am pumped to go next year.
ChatOptionGossipVALE |= I heard someone's crops failed in Mellowfields. That's what you get if you don't pay respect to our beloved Goddesses!
ChatOptionGossipSUMMERDOWN |= From the Vale eh? I heard they sacrifice their wives down there if they are not bearing children. Unbelievable!
ChatOptionGossipSUMMERDOWN |= Our annual music festival is in Autumn. You should come along and experience the festivities.
ChatOptionGossipSUMMERDOWN |= Sometimes, on a clear, crisp winter's night, if you gaze at the distant peaks, you can sometimes see the glow of Dragonfire as it warms its cave.
ChatOptionGossipSUMMERDOWN |= Have you ever been to The Shingles? The entrance to Midwood looms there and just seeing those trees looking down on you makes your snot turn white.
ChatOptionGossipSUMMERDOWN |= A wanderer was here last week, telling tales about how he took a wrong turn in fog on the way to Gaslight. Claims he saw Daddy Long Legs strolling around the marsh. Good thing that Daddy Long Legs didn't see him!
ChatOptionGossipSUMMERDOWN |= I put an apple core under my pillow to give the Dreamstokers something to nibble on and keep bad dreams at bay.
ChatOptionGossipSUMMERDOWN |= They say a horseshoe is lucky, but since horses are now extinct, I would say that superstition was a load of cobblers.
ChatOptionGossipSUMMERDOWN |= Blue lights in the swamps. People say they are the souls of lost travellers. Others say they are very bright moths. I tell you this for free, though (put your money away)...moths can't sing. Whatever you do, do not follow the lights!
ChatOptionGossipSUMMERDOWN |= It seems to always rain in Woemarsh. It's that fine rain that soaks you through.
ChatOptionGossipSUMMERDOWN |= Moon is the Master archer of Quill. She can shoot the nits out of your hair.
ChatOptionGossipMELLOWFIELDS |= We have our vegetable festival each year. You should bring some quality veggies along and join in the festivities.
ChatOptionGossipMELLOWFIELDS |= I once met a man who said he heard the Banshee singing. He said if he hadn't got his foot stuck in a rabbit hole, he would have walked to his death.
ChatOptionGossipMELLOWFIELDS |= Everybody cheats to get their veggies to be the biggest. I reckon some of em use Fae help to inflate their pumpkins. I wish I could prove it!
ChatOptionGossipMELLOWFIELDS |= I reckon the miners of Deepstone will dig too deep one day and come out at the other side of the world. I would love to know what is there. I reckon it's a place ruled by fishmen and fish ladies.
ChatOptionGossipMELLOWFIELDS |= Want some juicy gossip? I heard some fellow over in the Vale sacrificed his wife because she was fallow and unable to take seed. I know it is legal, but that sort of thing happens very rarely! I once offered up a chicken, and I felt bad for weeks after, although I did get very nice carrots that season.
ChatOptionGossipMELLOWFIELDS |= Why do the Fae love visiting Quill so much? On market day, the smell of sheep farts could melt your windows. That might smell nice to a Mossman or Dryad, but Fairies love everything squeaky clean and sweet, according to the authorities on the subject.
ChatOptionGossipMELLOWFIELDS |= To reach Nirvana, the ancient ones would place four objects on a plinth. These were a mullet hoe, an albino, a mosquito and some libido. That's what the words on the scrolls said. Don't believe me? Ok, whatever, never mind.
